symbol,entry_time,exit_time,entry_price,exit_price,stop_loss,RR,PnL,confidence,entry_type,regime,ADX
AAVEUSDT,2022-01-18 02:00:00,2022-01-18 04:00:00,233.2125,226.45,221.1,-0.5583075335397326,-0.5583075335397325,4.0,zone,TREND,31.979
BNBUSDT,2022-01-18 04:30:00,2022-01-18 06:00:00,470.5,475.25,479.6964,-0.5165064590491941,-0.5136227645771032,4.0,momentum,TREND,35.9187
UNIUSDT,2022-01-18 09:00:00,2022-01-18 13:00:00,17.2174,17.063,16.552,-0.23204087766757156,-0.11477678059791832,3.5,zone,TREND,35.9375
BNBUSDT,2022-01-18 09:30:00,2022-01-18 10:00:00,464.4,465.8,479.4179,-0.0932220883079548,-0.09222281249884458,4.0,momentum,TREND,30.1981
NEARUSDT,2022-01-18 14:30:00,2022-01-18 22:00:00,17.07,17.896,18.12,-0.7866666666666666,-0.7766057515224529,4.0,momentum,TREND,38.5094
UNIUSDT,2022-01-19 04:00:00,2022-01-19 14:00:00,16.056,15.817300000000003,16.2947,1.0,0.48972232178631975,3.0,momentum,TREND,36.6918
UNIUSDT,2022-01-19 05:00:00,2022-01-19 14:00:00,15.736,15.817300000000003,16.2947,-0.24196428571429382,-0.16679691982081818,3.0,momentum,TREND,36.6918
UNIUSDT,2022-01-19 07:00:00,2022-01-19 14:00:00,15.313,15.817300000000003,16.2947,-1.0,-1.034633292320253,3.0,momentum,TREND,36.6918
ADAUSDT,2022-01-20 15:00:00,2022-01-20 20:00:00,1.3816,1.378,1.3362,-0.07929515418502328,-0.01750189616404389,4.0,zone,TREND,33.1217
NEARUSDT,2022-01-21 00:30:00,2022-01-22 16:00:00,15.65,11.333,17.53,2.29627659574468,1.1161655691008157,3.5,momentum,TREND,34.7682
ETHUSDT,2022-01-21 00:30:00,2022-01-22 16:00:00,3027.45,2430.6,3272.0,2.44060519321202,1.1863202758239457,3.5,zone,TREND,36.0235
DOTUSDT,2022-01-21 00:30:00,2022-01-22 13:00:00,23.4,19.155,25.585,1.9427917620137267,0.9443449786105549,3.5,momentum,TREND,35.7878
BTCUSDT,2022-01-21 00:30:00,2022-01-22 13:00:00,41075.0,35850.0,43380.5,2.2663196703535027,1.1016042184605148,3.5,zone,TREND,39.9816
SOLUSDT,2022-01-21 00:30:00,2022-01-21 16:00:00,128.425,124.095,144.03,0.2774751682153166,0.2697481911511233,4.0,momentum,TREND,32.9488
