time,symbol,direction,signal_type,selected_tf,status,entry
2022-01-18 04:00:00,BNBUSDT,SHORT,BOS,30m,candidate,
2022-01-18 04:00:00,BNBUSDT,SHORT,BOS,30m,accepted,472.05
2022-01-18 09:00:00,BNBUSDT,SHORT,BOS,30m,candidate,
2022-01-18 09:00:00,BNBUSDT,SHORT,BOS,30m,accepted,464.6
2022-01-18 09:00:00,UNIUSDT,LONG,BOS,1h,candidate,
2022-01-19 04:00:00,UNIUSDT,SHORT,BOS,1h,candidate,
2022-01-19 07:00:00,HBARUSDT,SHORT,BOS,15m,candidate,
2022-01-19 07:00:00,HBARUSDT,SHORT,BOS,15m,accepted,0.25915
2022-01-19 07:00:00,LINKUSDT,SHORT,BOS,30m,candidate,
2022-01-19 07:00:00,LINKUSDT,SHORT,BOS,30m,accepted,21.87
2022-01-19 10:00:00,BCHUSDT,SHORT,BOS,30m,candidate,
2022-01-19 10:00:00,BCHUSDT,SHORT,BOS,30m,accepted,369.6
2022-01-20 15:00:00,ADAUSDT,LONG,BOS,30m,candidate,
2022-01-20 15:00:00,ADAUSDT,LONG,BOS,30m,accepted,1.4024
2022-01-21 00:00:00,AVAXUSDT,SHORT,BOS,30m,candidate,
2022-01-21 00:00:00,AVAXUSDT,SHORT,BOS,30m,accepted,79.24
2022-01-21 00:00:00,BTCUSDT,SHORT,BOS,30m,candidate,
2022-01-21 00:00:00,BTCUSDT,SHORT,BOS,30m,accepted,40702.0
2022-01-21 00:00:00,DOTUSDT,SHORT,BOS,30m,candidate,
2022-01-21 00:00:00,DOTUSDT,SHORT,BOS,30m,accepted,23.0
2022-01-21 00:00:00,ETHUSDT,SHORT,BOS,30m,candidate,
2022-01-21 00:00:00,ETHUSDT,SHORT,BOS,30m,accepted,3001.95
2022-01-21 00:00:00,NEARUSDT,SHORT,BOS,30m,candidate,
2022-01-21 00:00:00,NEARUSDT,SHORT,BOS,30m,accepted,15.244
2022-01-21 00:00:00,SOLUSDT,SHORT,BOS,30m,candidate,
2022-01-21 00:00:00,SOLUSDT,SHORT,BOS,30m,accepted,127.54
2022-01-21 00:00:00,XRPUSDT,SHORT,BOS,30m,candidate,
2022-01-21 00:00:00,XRPUSDT,SHORT,BOS,30m,accepted,0.7204
2022-01-21 02:00:00,AAVEUSDT,SHORT,BOS,30m,candidate,
