direction,entry,tp,sl,rr,regime,adx,atr,plus_di,minus_di,confidence,signal_type,has_fvg,timestamp,position_size,risk_amount,symbol,bars_alive,max_r,initial_risk,exit_time,exit_price,pnl,exit_reason,ema_position
SHORT,11.085,10.881,11.1031,11.28,RANGE,19.6061,0.0603,28.3175,12.5592,4,SWEEP,False,2023-04-10 16:00:00,17.40331491712835,0.315,ATOMUSDT,1,0.0,0.018099999999998673,2023-04-10 17:00:00,11.1031,-0.315,stop_loss,
SHORT,11.016,,11.337,,TREND,31.3341,0.1018,6.9474,36.8421,4,BOS,True,2023-04-12 02:00:00,2.0074416238317774,0.64438876125,ATOMUSDT,12,0.0,0.32099999999999973,2023-04-12 14:00:00,11.337,-0.64438876125,stop_loss,BELOW
LONG,11.698,,12.06,,TREND,30.1602,0.0808,43.2361,8.6649,4,BOS,True,2023-04-13 12:00:00,1.1025659090701863,0.443231495446216,ATOMUSDT,28,1.6890547263681557,0.402000000000001,2023-04-14 16:00:00,12.06,0.39912885908340756,stop_loss,ABOVE
SHORT,10.798,,10.889,,TREND,38.7085,0.0744,2.0173,43.2277,4,BOS,True,2023-05-06 14:00:00,1.2493478295138416,0.3423213052867915,ATOMUSDT,20,0.06934306569343135,0.27399999999999913,2023-05-07 10:00:00,10.889,-0.11369065248575871,stop_loss,BELOW
LONG,10.948,,10.807,,TREND,30.1266,0.1099,51.4304,14.4993,4,BOS,True,2023-05-10 13:00:00,0.5934698301472521,0.4445089027802921,ATOMUSDT,14,0.10280373831775688,0.7490000000000006,2023-05-11 03:00:00,10.807,-0.08367924605076255,stop_loss,ABOVE
SHORT,10.868,10.677,10.8922,7.9,RANGE,20.2667,0.0806,23.1383,21.0993,3,SWEEP,False,2023-05-16 21:00:00,15.788558895342396,0.382083125267293,ATOMUSDT,1,0.6198347107438138,0.024200000000000443,2023-05-16 22:00:00,10.8922,-0.382083125267293,stop_loss,
LONG,10.957,,10.874,,TREND,30.1841,0.0664,32.1505,10.1075,3,BOS,True,2023-05-18 04:00:00,5.632719325241386,0.5407410552231735,ATOMUSDT,10,0.27083333333333104,0.09600000000000009,2023-05-18 14:00:00,10.874,-0.46751570399503606,stop_loss,ABOVE
LONG,10.879,,10.815,,TREND,37.8546,0.0416,37.7358,6.0034,3,BOS,True,2023-05-30 11:00:00,3.478887273440515,0.4139875855394205,ATOMUSDT,15,0.0,0.11899999999999977,2023-05-31 02:00:00,10.815,-0.22264878550019315,stop_loss,ABOVE
LONG,10.608,,10.592,,TREND,33.6932,0.0736,31.4563,20.9709,4,BOS,True,2023-06-02 05:00:00,1.7530282180029728,0.6345962149170763,ATOMUSDT,19,0.10220994475137851,0.3620000000000001,2023-06-03 00:00:00,10.592,-0.02804845148804759,stop_loss,ABOVE
LONG,10.694,,10.725,,TREND,37.8069,0.0433,35.1485,12.5413,4,BOS,True,2023-06-03 23:00:00,5.042598361238971,0.33785409020301194,ATOMUSDT,25,2.089552238805947,0.06700000000000017,2023-06-05 00:00:00,10.725,0.15632054919840208,stop_loss,ABOVE
