direction,entry,tp,sl,rr,regime,adx,atr,plus_di,minus_di,confidence,signal_type,has_fvg,timestamp,ml_score,smc_ok,volume_spike,funding_rate,orderbook_imbalance,ema_position,position_size,risk_amount,symbol,bars_alive,max_r,initial_risk,exit_time,exit_price,pnl,exit_reason
SHORT,10.759,10.5046,10.759,2.05,TREND,37.3071,0.1306,6.1782,40.0219,4,BOS,False,2023-04-21 19:00:00,0.98,True,True,,,BELOW,2.284448025785651,0.28350000000000003,ATOMUSDT,1,0.9186140209508499,0.12410000000000032,2023-04-21 20:00:00,10.759,-0.0,stop_loss
SHORT,11.239,10.9794,11.239,2.05,TREND,39.5427,0.1333,6.6988,38.6924,4,BOS,False,2023-05-01 01:00:00,0.9,True,True,,,BELOW,2.2393364928909985,0.28350000000000003,ATOMUSDT,12,0.6556082148499234,0.12659999999999982,2023-05-01 13:00:00,11.239,-0.0,stop_loss
LONG,8.666,8.7575,8.6214,2.05,TREND,37.7428,0.047,31.459,9.1185,4,BOS,False,2023-08-09 12:00:00,0.98,True,True,,,ABOVE,6.356502242152344,0.28350000000000003,ATOMUSDT,1,0.0,0.04460000000000086,2023-08-09 13:00:00,8.6214,-0.28350000000000003,stop_loss
SHORT,2.0633,2.0269,2.0633,2.05,TREND,36.0496,0.0187,5.9565,40.5116,5,BOS,False,2023-10-27 14:00:00,0.98,True,True,,,BELOW,15.881813342696399,0.28269627750000004,TONUSDT,2,1.4775280898876184,0.01780000000000026,2023-10-27 16:00:00,2.0633,-0.0,stop_loss
LONG,552.9,555.7,551.2929,1.74,RANGE,16.1772,4.0179,18.6667,25.6,4,SWEEP,False,2024-09-15 23:00:00,0.6093,False,True,,,,0.1368146863916417,0.21987488249999998,BNBUSDT,1,0.0,1.6070999999999458,2024-09-16 00:00:00,551.2929,-0.21987488249999998,stop_loss
LONG,580.2,587.4823,576.6477,2.05,TREND,37.5982,3.7393,30.9456,18.1471,4,BOS,False,2024-10-14 03:00:00,0.98,True,True,,,ABOVE,0.07940571804411446,0.2820729322081125,BNBUSDT,4,0.2955831433155806,3.5523000000000593,2024-10-14 07:00:00,576.6477,-0.2820729322081125,stop_loss
LONG,3988.54,4074.5861,3988.54,2.05,TREND,35.1111,44.1829,28.2964,13.1337,4,BOS,False,2024-12-06 14:00:00,0.98,True,True,,,ABOVE,0.007818041567763931,0.328152131352853,ETHUSDT,5,1.9688519239428466,41.97370000000001,2024-12-06 19:00:00,4074.5861,0.6727119865439721,take_profit
SHORT,1.1237,1.0932,1.1237,1.8,TREND,34.4046,0.0178,9.7395,36.994,4,BOS,False,2024-12-09 08:00:00,0.98,True,True,,,BELOW,19.548942381558845,0.33037712624834714,ADAUSDT,3,1.130177514792884,0.016900000000000137,2024-12-09 11:00:00,1.1237,-0.0,stop_loss
SHORT,7.141,6.8951,7.141,1.8,TREND,34.2477,0.1438,7.4516,41.1823,4,BOS,False,2024-12-09 08:00:00,0.98,True,True,,,BELOW,2.4185733985969846,0.33037712624834714,FILUSDT,3,0.8199121522694027,0.1365999999999996,2024-12-09 11:00:00,7.141,-0.0,stop_loss
SHORT,14.69,13.5586,14.69,2.05,TREND,39.5223,0.5809,12.5169,27.2839,4,BOS,False,2024-12-10 15:00:00,0.9,True,True,,,BELOW,0.5131009130769248,0.2831803939271547,UNIUSDT,2,1.112520384127558,0.5518999999999998,2024-12-10 17:00:00,14.69,-0.0,stop_loss
