direction,entry,tp,sl,rr,regime,adx,atr,plus_di,minus_di,confidence,bos,fvg,liquidity_sweep,bos_strength,range,volume,fvg_size,signal_type,has_fvg,nearest_level,last_swing_low,last_swing_high,timestamp,confidence_threshold_used,entry_mode,entry_type,candles_since_bos,ema_position,position_size,risk_amount,risk_percent,symbol,bars_alive,max_r,initial_risk,mfe_r,mae_r,max_r_reached,max_price_since_entry,min_price_since_entry,original_sl,exit_time,exit_price,pnl,exit_reason,exit_type,mtf_tf
SHORT,10.902,,10.973,-0.5916666666666743,TREND,37.2883,0.0611,15.4206,41.7056,5.0,,True,SWEEP_LOW,,0.11999999999999922,,,BOS,True,,,11.022,2023-04-09 06:00:00,1,momentum,inside_zone,11.0,BELOW,5.0,1.5,1.5,ATOMUSDT,6,0.033333333333329385,0.120000000000001,0.3166666666666514,0.5916666666666743,0.3166666666666514,10.973,10.864,11.022,2023-04-09 12:00:00,10.973,-0.35500000000000753,stop_loss,trailing_stop,
SHORT,11.085,10.9946,11.1453,-1.0,RANGE,19.6061,0.0603,28.3175,12.5592,4.0,BULLISH_BOS,False,SWEEP_HIGH,,0.11999999999999922,,,SWEEP,False,11.1453,,,2023-04-10 16:00:00,1,,,,,4.9822500000000005,0.99645,1.0,ATOMUSDT,1,0.0,0.0602999999999998,0.08291873963517078,1.4759535655057867,0.08291873963517078,11.174,11.08,11.1453,2023-04-10 17:00:00,11.1453,-0.300429674999999,stop_loss,SL,
LONG,12.751,,12.561,-1.0,TREND,37.0997,0.1141,37.5704,16.531,3.5,BULLISH_BOS,False,,,0.12599999999999945,,,BOS,False,,12.561,,2023-04-18 11:00:00,1,zone,inside_zone,,ABOVE,4.96722851625,0.9934457032499999,1.0,ATOMUSDT,3,0.0,0.1899999999999995,0.10000000000000094,1.1842105263157907,0.10000000000000094,12.77,12.526,12.561,2023-04-18 14:00:00,12.561,-0.9437734180874975,stop_loss,SL,
SHORT,10.919,10.7673,11.0201,1.5004945598417572,RANGE,19.2848,0.1011,26.9068,18.0791,3.0,,False,SWEEP_HIGH,,0.16999999999999993,,,SWEEP,False,11.0201,,,2023-04-24 13:00:00,1,,,,,4.8665082545456775,0.49200398453456246,0.5,ATOMUSDT,1,0.8605341246290873,0.10109999999999886,1.5727002967359298,0.39564787339267654,1.5727002967359298,10.959,10.76,11.0201,2023-04-24 14:00:00,10.7673,0.738249302214579,take_profit,TP,
LONG,11.58,,11.426,-0.5900383141762466,TREND,37.9846,0.1703,26.7198,11.5772,3.5,BULLISH_BOS,False,,,0.2680000000000007,,,BOS,False,,11.319,,2023-04-27 18:00:00,1,zone,inside_zone,,ABOVE,3.7984308892385967,0.9913904620912708,1.0,ATOMUSDT,14,0.29885057471264226,0.26099999999999923,0.7624521072796951,0.9003831417624526,0.7624521072796951,11.779,11.345,11.319,2023-04-28 08:00:00,11.426,-0.5849583569427436,stop_loss,trailing_stop,
SHORT,10.567,,10.64,-0.5034482758620732,TREND,36.6234,0.1389,7.9733,37.0885,3.5,BEARISH_BOS,False,,,0.06099999999999994,,,BOS,False,,,10.712,2023-05-09 03:00:00,1,zone,inside_zone,,BELOW,4.9277043926092166,0.9855408785218432,1.0,ATOMUSDT,9,0.5862068965517317,0.14499999999999957,0.9103448275862073,0.7172413793103415,0.9103448275862073,10.671,10.435,10.712,2023-05-09 12:00:00,10.64,-0.3597224206604748,stop_loss,trailing_stop,
SHORT,10.868,10.7471,10.9486,-1.0,RANGE,20.2667,0.0806,23.1383,21.0993,3.0,,False,SWEEP_HIGH,,0.20000000000000107,,,SWEEP,False,10.9486,,,2023-05-16 21:00:00,1,,,,,4.9097182715761924,0.4909718271576193,0.5,ATOMUSDT,3,0.18610421836228888,0.08060000000000045,0.3846153846153897,1.0794044665012315,0.3846153846153897,10.955,10.837,10.9486,2023-05-17 00:00:00,10.9486,-0.3957232926890433,stop_loss,SL,
LONG,10.957,,10.874,-0.8645833333333345,TREND,30.1841,0.0664,32.1505,10.1075,3.2,BULLISH_BOS,True,,,0.0389999999999997,,,BOS,True,,10.861,,2023-05-18 04:00:00,1,zone,near_zone,,ABOVE,4.889932106941741,0.48899321069417406,0.5,ATOMUSDT,10,0.27083333333333104,0.09600000000000009,0.4166666666666574,1.6875000000000069,0.4166666666666574,10.997,10.795,10.861,2023-05-18 14:00:00,10.874,-0.4058643648761654,stop_loss,trailing_stop,
LONG,10.616,,10.592,-0.06486486486486266,TREND,39.8377,0.0615,40.9988,13.2404,3.5,BULLISH_BOS,False,,,0.0600000000000005,,,BOS,False,,10.246,,2023-06-02 15:00:00,1,zone,inside_zone,,ABOVE,2.632237237134023,0.9739277777395864,1.0,ATOMUSDT,9,0.07837837837837831,0.3699999999999992,0.12702702702702892,0.17027027027026748,0.12702702702702892,10.663,10.553,10.246,2023-06-03 00:00:00,10.592,-0.06317369369121427,stop_loss,trailing_stop,
LONG,10.694,,10.725,0.4626865671641601,TREND,37.8069,0.0433,35.1485,12.5413,5.0,BULLISH_BOS,True,,,0.014000000000001123,,,BOS,True,,10.627,,2023-06-03 23:00:00,1,zone,inside_zone,,ABOVE,4.866480204013372,1.4599440612040113,1.5,ATOMUSDT,25,2.089552238805947,0.06700000000000017,2.238805970149227,0.6268656716418132,2.238805970149227,10.844,10.652,10.627,2023-06-05 00:00:00,10.725,0.15086088632440872,stop_loss,trailing_stop,
