direction,entry,tp,sl,rr,regime,adx,atr,plus_di,minus_di,confidence,bos,fvg,liquidity_sweep,bos_strength,range,volume,fvg_size,signal_type,has_fvg,nearest_level,last_swing_low,last_swing_high,timestamp,confidence_threshold_used,entry_mode,candles_since_bos,ema_position,position_size,risk_amount,symbol,bars_alive,max_r,initial_risk,mfe_r,mae_r,max_r_reached,max_price_since_entry,min_price_since_entry,original_sl,exit_time,exit_price,pnl,exit_reason,exit_type,mtf_tf
SHORT,10.902,,10.973,-0.5916666666666743,TREND,37.2883,0.0611,15.4206,41.7056,5.0,,True,SWEEP_LOW,,0.11999999999999922,,,BOS,True,,,11.022,2023-04-09 06:00:00,1,momentum,11.0,BELOW,5.0,2.0,ATOMUSDT,6,0.033333333333329385,0.120000000000001,0.3166666666666514,0.5916666666666743,0.3166666666666514,10.973,10.864,11.022,2023-04-09 12:00:00,10.973,-0.35500000000000753,stop_loss,trailing_stop,
SHORT,11.085,10.9946,11.1453,-1.0,RANGE,19.6061,0.0603,28.3175,12.5592,4.0,BULLISH_BOS,False,SWEEP_HIGH,,0.11999999999999922,,,SWEEP,False,11.1453,,,2023-04-10 16:00:00,1,,,,4.9822500000000005,1.7936100000000001,ATOMUSDT,1,0.0,0.0602999999999998,0.08291873963517078,1.4759535655057867,0.08291873963517078,11.174,11.08,11.1453,2023-04-10 17:00:00,11.1453,-0.300429674999999,stop_loss,SL,
SHORT,11.016,,11.337,-1.0,TREND,31.3341,0.1018,6.9474,36.8421,5.0,BEARISH_BOS,True,,,0.26699999999999946,,,BOS,True,,,11.337,2023-04-12 02:00:00,1,zone,,BELOW,4.96722851625,1.9868914064999998,ATOMUSDT,12,0.0,0.32099999999999973,0.14330218068535644,1.040498442367601,0.14330218068535644,11.35,10.97,11.337,2023-04-12 14:00:00,11.337,-1.5944803537162486,stop_loss,SL,
LONG,12.751,,12.561,-1.0,TREND,37.0997,0.1141,37.5704,16.531,3.5,BULLISH_BOS,False,,,0.12599999999999945,,,BOS,False,,12.561,,2023-04-18 11:00:00,1,zone,,ABOVE,4.887504498564187,1.6617515295118237,ATOMUSDT,3,0.0,0.1899999999999995,0.10000000000000094,1.1842105263157907,0.10000000000000094,12.77,12.526,12.561,2023-04-18 14:00:00,12.561,-0.9286258547271932,stop_loss,SL,
SHORT,10.919,10.7673,11.0201,1.5004945598417572,RANGE,19.2848,0.1011,26.9068,18.0791,3.0,,False,SWEEP_HIGH,,0.16999999999999993,,,SWEEP,False,11.0201,,,2023-04-24 13:00:00,1,,,,4.841073205827828,1.5491434258649048,ATOMUSDT,1,0.8605341246290873,0.10109999999999886,1.5727002967359298,0.39564787339267654,1.5727002967359298,10.959,10.76,11.0201,2023-04-24 14:00:00,10.7673,0.7343908053240813,take_profit,TP,
LONG,11.45,,11.426,-0.07667731629392723,TREND,32.3322,0.1626,34.8418,8.1283,3.5,BULLISH_BOS,False,,,0.27200000000000024,,,BOS,False,,11.137,,2023-04-27 10:00:00,1,zone,,ABOVE,4.877792746094032,1.658449533671971,ATOMUSDT,22,0.6645367412140606,0.31299999999999883,1.0511182108626258,0.6517571884984013,1.0511182108626258,11.779,11.246,11.137,2023-04-28 08:00:00,11.426,-0.11706702590625255,stop_loss,trailing_stop,
SHORT,11.239,,11.028,0.3112094395280245,TREND,39.5427,0.1333,6.6988,38.6924,3.5,BEARISH_BOS,False,,,0.32699999999999996,,,BOS,False,,,11.917,2023-05-01 01:00:00,1,zone,,BELOW,2.4431554487191254,1.6564593942315646,ATOMUSDT,31,0.5663716814159305,0.677999999999999,0.6076696165191761,0.17404129793510134,0.6076696165191761,11.357,10.827,11.917,2023-05-02 08:00:00,11.028,0.5155057996797362,stop_loss,trailing_stop,
SHORT,10.887,,10.889,-0.010810810810804894,TREND,32.3927,0.0738,6.97,35.5276,3.5,BEARISH_BOS,False,,,0.16300000000000026,,,BOS,False,,,11.072,2023-05-06 13:00:00,1,zone,,BELOW,4.897714684782706,1.6652229928261202,ATOMUSDT,21,0.5837837837837907,0.18499999999999872,0.756756756756765,0.3297297297297317,0.756756756756765,10.948,10.747,11.072,2023-05-07 10:00:00,10.889,-0.009795429369559983,stop_loss,trailing_stop,
SHORT,10.567,,10.64,-0.5034482758620732,TREND,36.6234,0.1389,7.9733,37.0885,3.5,BEARISH_BOS,False,,,0.06099999999999994,,,BOS,False,,,10.712,2023-05-09 03:00:00,1,zone,,BELOW,4.897224913314228,1.6650564705268376,ATOMUSDT,9,0.5862068965517317,0.14499999999999957,0.9103448275862073,0.7172413793103415,0.9103448275862073,10.671,10.435,10.712,2023-05-09 12:00:00,10.64,-0.3574974186719406,stop_loss,trailing_stop,
SHORT,10.361,,10.432,-0.22468354430379736,TREND,35.3968,0.125,17.0857,38.9714,3.5,BEARISH_BOS,False,,,0.5090000000000003,,,BOS,False,,,10.677,2023-05-09 15:00:00,1,zone,,BELOW,4.879350042380631,1.6589790144094145,ATOMUSDT,10,0.12341772151899243,0.31599999999999895,0.2911392405063317,0.41139240506328933,0.2911392405063317,10.491,10.269,10.677,2023-05-10 01:00:00,10.432,-0.34643385300902346,stop_loss,trailing_stop,
SHORT,10.352,,10.46,-0.9191489361702195,TREND,32.3136,0.1175,14.2857,36.3526,3.0,,True,,,0.041999999999999815,,,BOS,True,,,10.46,2023-05-10 03:00:00,1,momentum,12.0,BELOW,4.86202834973018,1.5558490719136575,ATOMUSDT,9,0.7659574468085113,0.11749999999999972,1.3021276595744753,2.799999999999997,1.3021276595744753,10.681,10.199,10.4695,2023-05-10 12:00:00,10.46,-0.5250990617708621,stop_loss,trailing_stop,
SHORT,10.868,10.7471,10.9486,-1.0,RANGE,20.2667,0.0806,23.1383,21.0993,3.0,,False,SWEEP_HIGH,,0.20000000000000107,,,SWEEP,False,10.9486,,,2023-05-16 21:00:00,1,,,,4.835773396641637,1.5474474869253239,ATOMUSDT,3,0.18610421836228888,0.08060000000000045,0.3846153846153897,1.0794044665012315,0.3846153846153897,10.955,10.837,10.9486,2023-05-17 00:00:00,10.9486,-0.38976333576931815,stop_loss,SL,
SHORT,10.609,,10.336,1.0111111111111115,TREND,30.6432,0.0574,12.2042,37.858,3.5,BEARISH_BOS,False,,,0.21199999999999974,,,BOS,False,,,10.879,2023-05-31 04:00:00,1,zone,,BELOW,4.816285229853172,1.6375369781500784,ATOMUSDT,29,1.4185185185185174,0.2699999999999996,1.4333333333333373,0.13333333333333203,1.4333333333333373,10.645,10.222,10.879,2023-06-01 09:00:00,10.336,1.3148458677499144,stop_loss,trailing_stop,
LONG,10.616,,10.592,-0.06486486486486266,TREND,39.8377,0.0615,40.9988,13.2404,3.5,BULLISH_BOS,False,,,0.0600000000000005,,,BOS,False,,10.246,,2023-06-02 15:00:00,1,zone,,ABOVE,4.48618745378873,1.6598893579018268,ATOMUSDT,9,0.07837837837837831,0.3699999999999992,0.12702702702702892,0.17027027027026748,0.12702702702702892,10.663,10.553,10.246,2023-06-03 00:00:00,10.592,-0.10766849889092564,stop_loss,trailing_stop,
LONG,10.694,,10.725,0.4626865671641601,TREND,37.8069,0.0433,35.1485,12.5413,5.0,BULLISH_BOS,True,,,0.014000000000001123,,,BOS,True,,10.627,,2023-06-03 23:00:00,1,zone,,ABOVE,4.87664409829612,1.950657639318448,ATOMUSDT,25,2.089552238805947,0.06700000000000017,2.238805970149227,0.6268656716418132,2.238805970149227,10.844,10.652,10.627,2023-06-05 00:00:00,10.725,0.1511759670471739,stop_loss,trailing_stop,
SHORT,10.18,9.8746,10.3836,1.5000000000000044,RANGE,21.5526,0.0822,29.192,15.5517,5.0,BULLISH_BOS,False,SWEEP_HIGH,,0.10400000000000098,,,SWEEP,False,10.3836,,,2023-06-06 20:00:00,1,,,,4.884202896648479,1.9536811586593916,ATOMUSDT,13,1.3998035363457781,0.20359999999999978,1.5422396856581553,0.0933202357563858,1.5422396856581553,10.199,9.866,10.3836,2023-06-07 09:00:00,9.8746,1.4916355646364483,take_profit,TP,
SHORT,9.45,,7.5249999999999915,11.0,TREND,31.9659,0.0676,18.8161,33.4038,3.5,BEARISH_BOS,False,,,0.12099999999999866,,,BOS,False,,,9.625,2023-06-08 16:00:00,1,zone,,BELOW,4.958784674880302,1.6859867894593026,ATOMUSDT,36,8.697142857142818,0.1750000000000007,13.6571428571428,0.4171428571428577,13.6571428571428,9.523,7.06,9.625,2023-06-10 04:00:00,7.5249999999999915,9.54566049914462,stop_loss,trailing_stop,
