direction,entry,entry_level,tp,sl,rr,regime,adx,atr,plus_di,minus_di,confidence,bos,fvg,liquidity_sweep,bos_strength,range,volume,fvg_size,signal_type,has_fvg,nearest_level,last_swing_low,last_swing_high,timestamp,confidence_threshold_used,entry_mode,candles_since_bos,ema_position,position_size,risk_amount,symbol,bars_alive,max_r,initial_risk,mfe_r,mae_r,max_r_reached,max_price_since_entry,min_price_since_entry,original_sl,scale_level,signal_id,exit_time,exit_price,pnl,exit_reason,exit_type,mtf_tf
SHORT,10.8536,1.0,,10.973,-0.7090261282660365,TREND,37.2883,0.0611,15.4206,41.7056,5.0,,True,SWEEP_LOW,,0.11999999999999922,,,BOS,True,,,11.022,2023-04-09 06:00:00,1,momentum,11.0,BELOW,5.0,2.0,ATOMUSDT,6,0.0,0.1684000000000001,0.0,0.7090261282660365,0.0,10.973,10.8536,11.022,0,1,2023-04-09 12:00:00,10.973,-0.5970000000000031,stop_loss,trailing_stop,
SHORT,11.085,,10.9946,11.1453,-1.0,RANGE,19.6061,0.0603,28.3175,12.5592,4.0,BULLISH_BOS,False,SWEEP_HIGH,,0.11999999999999922,,,SWEEP,False,11.1453,,,2023-04-10 16:00:00,1,,,,4.97015,1.7892540000000001,ATOMUSDT,1,0.0,0.0602999999999998,0.08291873963517078,1.4759535655057867,0.08291873963517078,11.174,11.08,11.1453,0,2,2023-04-10 17:00:00,11.1453,-0.299700044999999,stop_loss,SL,
SHORT,11.1536,1.0,,11.337,-1.0,TREND,31.3341,0.1018,6.9474,36.8421,5.0,BEARISH_BOS,True,,,0.26699999999999946,,,BOS,True,,,11.337,2023-04-12 02:00:00,1,zone,,BELOW,4.95516499775,1.9820659991,ATOMUSDT,12,0.6739367502726403,0.1833999999999989,1.0010905125409013,1.0708833151581243,1.0010905125409013,11.35,10.97,11.337,0,3,2023-04-12 14:00:00,11.337,-0.9087772605873445,stop_loss,SL,
SHORT,11.03,1.0,,11.337,-1.0,TREND,31.3341,0.1018,6.9474,36.8421,5.0,BEARISH_BOS,True,,,0.26699999999999946,,,BOS,True,,,11.337,2023-04-12 03:00:00,1,zone,,BELOW,4.95516499775,1.9820659991,ATOMUSDT,11,0.0,0.3070000000000004,0.09771986970683819,1.0423452768729637,0.09771986970683819,11.35,11.0,11.337,1,3,2023-04-12 14:00:00,11.337,-1.5212356543092518,stop_loss,SL,
LONG,12.7555,1.0,,12.561,-1.0,TREND,37.0997,0.1141,37.5704,16.531,3.5,BULLISH_BOS,False,,,0.12599999999999945,,,BOS,False,,12.561,,2023-04-18 11:00:00,1,zone,,ABOVE,4.8336643520051705,1.643445879681758,ATOMUSDT,3,0.0,0.19449999999999967,0.07455012853470427,1.179948586118253,0.07455012853470427,12.77,12.526,12.561,0,4,2023-04-18 14:00:00,12.561,-0.9401477164650041,stop_loss,SL,
SHORT,10.919,,10.7673,11.0201,1.5004945598417572,RANGE,19.2848,0.1011,26.9068,18.0791,3.0,,False,SWEEP_HIGH,,0.16999999999999993,,,SWEEP,False,11.0201,,,2023-04-24 13:00:00,1,,,,4.78665696618192,1.5317302291782144,ATOMUSDT,1,0.8605341246290873,0.10109999999999886,1.5727002967359298,0.39564787339267654,1.5727002967359298,10.959,10.76,11.0201,0,5,2023-04-24 14:00:00,10.7673,0.726135861769797,take_profit,TP,
LONG,11.4236,1.0,,11.426,0.00837404047452804,TREND,32.3322,0.1626,34.8418,8.1283,3.5,BULLISH_BOS,False,,,0.27200000000000024,,,BOS,False,,11.137,,2023-04-27 10:00:00,1,zone,,ABOVE,4.82296375927041,1.6398076781519393,ATOMUSDT,22,0.8178646196789919,0.28659999999999997,1.2400558269364952,0.619678995115143,1.2400558269364952,11.779,11.246,11.137,0,6,2023-04-28 08:00:00,11.426,0.011575113022247709,stop_loss,trailing_stop,
LONG,11.605,1.0,,11.426,-0.6258741258741277,TREND,32.3322,0.1626,34.8418,8.1283,3.5,BULLISH_BOS,False,,,0.27200000000000024,,,BOS,False,,11.137,,2023-04-27 21:00:00,1,zone,,ABOVE,4.82296375927041,1.6398076781519393,ATOMUSDT,11,0.0,0.2859999999999996,0.11188811188811215,0.9090909090909096,0.11188811188811215,11.637,11.345,11.137,1,6,2023-04-28 08:00:00,11.426,-0.8633105129094046,stop_loss,trailing_stop,
SHORT,11.4227,1.0,,11.028,0.798502933441232,TREND,39.5427,0.1333,6.6988,38.6924,3.5,BEARISH_BOS,False,,,0.32699999999999996,,,BOS,False,,,11.917,2023-05-01 01:00:00,1,zone,,BELOW,3.288141161953997,1.6253281763538576,ATOMUSDT,31,1.1484928181266465,0.4942999999999991,1.205138579809836,0.0,1.205138579809836,11.4227,10.827,11.917,0,7,2023-05-02 08:00:00,11.028,1.2978293166232435,stop_loss,trailing_stop,
SHORT,11.029,1.0,,11.028,0.0030487804878031937,TREND,39.5427,0.1333,6.6988,38.6924,3.5,BEARISH_BOS,False,,,0.32699999999999996,,,BOS,False,,,11.917,2023-05-01 16:00:00,1,zone,,BELOW,3.288141161953997,1.6253281763538576,ATOMUSDT,16,0.5304878048780481,0.3279999999999994,0.6158536585365864,0.054878048780489984,0.6158536585365864,11.047,10.827,11.917,1,7,2023-05-02 08:00:00,11.028,0.0032881411619521744,stop_loss,trailing_stop,
