direction,entry,entry_level,tp,sl,rr,regime,adx,atr,plus_di,minus_di,confidence,confidence_bucket,bos,fvg,liquidity_sweep,bos_strength,range,volume,fvg_size,signal_type,has_fvg,nearest_level,last_swing_low,last_swing_high,timestamp,confidence_threshold_used,entry_mode,candles_since_bos,ema_position,position_size,risk_amount,symbol,bars_alive,max_r,initial_risk,mfe_r,mae_r,max_r_reached,max_price_since_entry,min_price_since_entry,original_sl,scale_level,entry_idx,trailing_type,swing_trail_updates,signal_id,exit_time,exit_price,pnl,exit_reason,exit_type,last_structure_swing_price,last_structure_swing_idx
SHORT,10.8536,1.0,,11.022,-1.0,TREND,37.2883,0.0611,15.4206,41.7056,5.0,full,,True,SWEEP_LOW,,0.11999999999999922,,,BOS,True,,,11.022,2023-04-09 06:00:00,2.5,momentum,11.0,BELOW,5.0,1.0,ATOMUSDT,13,0.0,0.1684000000000001,0.0,1.1543942992874097,0.0,11.048,10.8536,11.022,0,252,R,0,1,2023-04-09 19:00:00,11.022,-0.8420000000000005,stop_loss,SL,,
SHORT,11.085,,10.9946,11.1453,-1.0,RANGE,19.6061,0.0603,28.3175,12.5592,4.0,full,BULLISH_BOS,False,SWEEP_HIGH,,0.11999999999999922,,,SWEEP,False,11.1453,,,2023-04-10 16:00:00,2.5,,,,4.9579,0.99158,ATOMUSDT,1,0.0,0.0602999999999998,0.08291873963517078,1.4759535655057867,0.08291873963517078,11.174,11.08,11.1453,0,286,R,0,2,2023-04-10 17:00:00,11.1453,-0.298961369999999,stop_loss,SL,,
SHORT,11.1536,1.0,,11.337,-1.0,TREND,31.3341,0.1018,6.9474,36.8421,5.0,full,BEARISH_BOS,True,,,0.26699999999999946,,,BOS,True,,,11.337,2023-04-12 02:00:00,2.5,zone,,BELOW,4.942951931500001,0.9885903863000001,ATOMUSDT,12,0.6739367502726403,0.1833999999999989,1.0010905125409013,1.0708833151581243,1.0010905125409013,11.35,10.97,11.337,0,320,R,0,3,2023-04-12 14:00:00,11.337,-0.9065373842370946,stop_loss,SL,,
SHORT,11.03,1.0,,11.337,-1.0,TREND,31.3341,0.1018,6.9474,36.8421,5.0,full,BEARISH_BOS,True,,,0.26699999999999946,,,BOS,True,,,11.337,2023-04-12 03:00:00,2.5,zone,,BELOW,4.942951931500001,0.9885903863000001,ATOMUSDT,11,0.0,0.3070000000000004,0.09771986970683819,1.0423452768729637,0.09771986970683819,11.35,11.0,11.337,1,320,R,0,3,2023-04-12 14:00:00,11.337,-1.517486242970502,stop_loss,SL,,
LONG,12.7555,1.0,,12.561,-1.0,TREND,37.0997,0.1141,37.5704,16.531,3.5,half,BULLISH_BOS,False,,,0.12599999999999945,,,BOS,False,,12.561,,2023-04-18 11:00:00,2.5,zone,,ABOVE,2.479049228863562,0.482175075013962,ATOMUSDT,3,0.0,0.19449999999999967,0.07455012853470427,1.179948586118253,0.07455012853470427,12.77,12.526,12.561,0,473,R,0,4,2023-04-18 14:00:00,12.561,-0.482175075013962,stop_loss,SL,,
SHORT,10.919,,10.7673,11.0201,1.5004945598417572,RANGE,19.2848,0.1011,26.9068,18.0791,3.0,half,,False,SWEEP_HIGH,,0.16999999999999993,,,SWEEP,False,11.0201,,,2023-04-24 13:00:00,2.5,,,,4.745442132926782,0.4797641996388922,ATOMUSDT,1,0.8605341246290873,0.10109999999999886,1.5727002967359298,0.39564787339267654,1.5727002967359298,10.959,10.76,11.0201,0,619,R,0,5,2023-04-24 14:00:00,10.7673,0.7198835715649926,take_profit,TP,,
LONG,11.4236,1.0,,11.286480000000001,-0.4784368457780861,TREND,32.3322,0.1626,34.8418,8.1283,3.5,half,BULLISH_BOS,False,,,0.27200000000000024,,,BOS,False,,11.137,,2023-04-27 10:00:00,2.5,zone,,ABOVE,1.686544373680102,0.4833636174967172,ATOMUSDT,27,0.8178646196789919,0.28659999999999997,1.2400558269364952,0.619678995115143,1.2400558269364952,11.779,11.246,11.137,0,688,structure,1,6,2023-04-28 13:00:00,11.286480000000001,-0.23125896451901468,stop_loss,trailing_stop,11.319,693.0
LONG,11.605,1.0,,11.286480000000001,-1.0,TREND,32.3322,0.1626,34.8418,8.1283,3.5,half,BULLISH_BOS,False,,,0.27200000000000024,,,BOS,False,,11.137,,2023-04-27 21:00:00,2.5,zone,,ABOVE,1.686544373680102,0.4833636174967172,ATOMUSDT,16,0.0,0.31851999999999947,0.10046464900163281,1.0642973753610478,0.10046464900163281,11.637,11.266,11.137,1,688,structure,1,6,2023-04-28 13:00:00,11.286480000000001,-0.5371981139045852,stop_loss,trailing_stop,11.319,693.0
SHORT,11.4227,1.0,,11.05466,0.7445680760671682,TREND,39.5427,0.1333,6.6988,38.6924,3.5,half,BEARISH_BOS,False,,,0.32699999999999996,,,BOS,False,,,11.917,2023-05-01 01:00:00,2.5,zone,,BELOW,0.9701018250143639,0.4795213321045992,ATOMUSDT,37,1.1484928181266465,0.4942999999999991,1.205138579809836,0.0,1.205138579809836,11.4227,10.827,11.917,0,775,structure,2,7,2023-05-02 14:00:00,11.05466,0.35703627567828705,stop_loss,trailing_stop,11.028,796.0
SHORT,11.029,1.0,,11.05466,-0.07235098404105426,TREND,39.5427,0.1333,6.6988,38.6924,3.5,half,BEARISH_BOS,False,,,0.32699999999999996,,,BOS,False,,,11.917,2023-05-01 16:00:00,2.5,zone,,BELOW,0.9701018250143639,0.4795213321045992,ATOMUSDT,22,0.4906107257655217,0.3546599999999991,0.5695595781875613,0.15507810297185998,0.5695595781875613,11.084,10.827,11.917,1,775,structure,1,7,2023-05-02 14:00:00,11.05466,-0.02489281282986881,stop_loss,trailing_stop,11.357,783.0
