direction,entry,entry_level,tp,sl,rr,regime,adx,atr,plus_di,minus_di,confidence,confidence_bucket,position_size_multiplier,bos,fvg,liquidity_sweep,bos_strength,range,volume,fvg_size,signal_type,has_fvg,nearest_level,last_swing_low,last_swing_high,timestamp,confidence_threshold_used,entry_type,position_size,risk_amount,symbol,bars_alive,max_r,initial_risk,mfe_r,mae_r,max_r_reached,max_price_since_entry,min_price_since_entry,original_sl,scale_level,signal_id,exit_time,exit_price,pnl,exit_reason,exit_type,entry_mode,candles_since_bos,ema_position,mtf_tf
SHORT,11.085,,10.9946,11.1453,-1.0,RANGE,19.6061,0.0603,28.3175,12.5592,4.0,4_to_5,1.0,BULLISH_BOS,False,SWEEP_HIGH,,0.11999999999999922,,,SWEEP,False,11.1453,,,2023-04-10 16:00:00,2.5,zone,5.0,1.0,ATOMUSDT,1,0.0,0.0602999999999998,0.08291873963517078,1.4759535655057867,0.08291873963517078,11.174,11.08,11.1453,0,1,2023-04-10 17:00:00,11.1453,-0.301499999999999,stop_loss,SL,,,,
SHORT,11.1536,1.0,,11.337,-1.0,TREND,31.3341,0.1018,6.9474,36.8421,5.0,5_plus,1.25,BEARISH_BOS,True,,,0.26699999999999946,,,BOS,True,,,11.337,2023-04-12 02:00:00,2.5,zone,4.9849250000000005,1.2462312500000001,ATOMUSDT,12,0.6739367502726403,0.1833999999999989,1.0010905125409013,1.0708833151581243,1.0010905125409013,11.35,10.97,11.337,0,2,2023-04-12 14:00:00,11.337,-0.9142352449999946,stop_loss,SL,zone,,BELOW,
SHORT,11.03,1.0,,11.337,-1.0,TREND,31.3341,0.1018,6.9474,36.8421,5.0,5_plus,1.25,BEARISH_BOS,True,,,0.26699999999999946,,,BOS,True,,,11.337,2023-04-12 03:00:00,2.5,zone,4.9849250000000005,1.2462312500000001,ATOMUSDT,11,0.0,0.3070000000000004,0.09771986970683819,1.0423452768729637,0.09771986970683819,11.35,11.0,11.337,1,2,2023-04-12 14:00:00,11.337,-1.530371975000002,stop_loss,SL,zone,,BELOW,
LONG,12.7555,1.0,,12.561,-1.0,TREND,37.0997,0.1141,37.5704,16.531,3.5,3_to_4,0.5,BULLISH_BOS,False,,,0.12599999999999945,,,BOS,False,,12.561,,2023-04-18 11:00:00,2.5,zone,2.5001000714652992,0.4862694638999999,ATOMUSDT,3,0.0,0.19449999999999967,0.07455012853470427,1.179948586118253,0.07455012853470427,12.77,12.526,12.561,0,3,2023-04-18 14:00:00,12.561,-0.48626946389999987,stop_loss,SL,zone,,ABOVE,
SHORT,10.919,,10.7673,11.0201,1.5004945598417572,RANGE,19.2848,0.1011,26.9068,18.0791,3.0,3_to_4,0.5,,False,SWEEP_HIGH,,0.16999999999999993,,,SWEEP,False,11.0201,,,2023-04-24 13:00:00,2.5,zone,4.78573804728492,0.48383811658049997,ATOMUSDT,1,0.8605341246290873,0.10109999999999886,1.5727002967359298,0.39564787339267654,1.5727002967359298,10.959,10.76,11.0201,0,4,2023-04-24 14:00:00,10.7673,0.7259964617731222,take_profit,TP,,,,
LONG,11.4236,1.0,,11.426,0.00837404047452804,TREND,32.3322,0.1626,34.8418,8.1283,3.5,3_to_4,0.5,BULLISH_BOS,False,,,0.27200000000000024,,,BOS,False,,11.137,,2023-04-27 10:00:00,2.5,zone,1.7008656625588472,0.48746809888936554,ATOMUSDT,22,0.8178646196789919,0.28659999999999997,1.2400558269364952,0.619678995115143,1.2400558269364952,11.779,11.246,11.137,0,5,2023-04-28 08:00:00,11.426,0.004082077590140783,stop_loss,trailing_stop,zone,,ABOVE,
LONG,11.605,1.0,,11.426,-0.6258741258741277,TREND,32.3322,0.1626,34.8418,8.1283,3.5,3_to_4,0.5,BULLISH_BOS,False,,,0.27200000000000024,,,BOS,False,,11.137,,2023-04-27 21:00:00,2.5,zone,1.7008656625588472,0.48746809888936554,ATOMUSDT,11,0.0,0.2859999999999996,0.11188811188811215,0.9090909090909096,0.11188811188811215,11.637,11.345,11.137,1,5,2023-04-28 08:00:00,11.426,-0.3044549535980341,stop_loss,trailing_stop,zone,,ABOVE,
SHORT,11.4227,1.0,,11.028,0.798502933441232,TREND,39.5427,0.1333,6.6988,38.6924,3.5,3_to_4,0.5,BEARISH_BOS,False,,,0.32699999999999996,,,BOS,False,,,11.917,2023-05-01 01:00:00,2.5,zone,0.9831402680747057,0.4859662345093261,ATOMUSDT,31,1.1484928181266465,0.4942999999999991,1.205138579809836,0.0,1.205138579809836,11.4227,10.827,11.917,0,6,2023-05-02 08:00:00,11.028,0.3880454638090866,stop_loss,trailing_stop,zone,,BELOW,
SHORT,11.029,1.0,,11.028,0.0030487804878031937,TREND,39.5427,0.1333,6.6988,38.6924,3.5,3_to_4,0.5,BEARISH_BOS,False,,,0.32699999999999996,,,BOS,False,,,11.917,2023-05-01 16:00:00,2.5,zone,0.9831402680747057,0.4859662345093261,ATOMUSDT,16,0.5304878048780481,0.3279999999999994,0.6158536585365864,0.054878048780489984,0.6158536585365864,11.047,10.827,11.917,1,6,2023-05-02 08:00:00,11.028,0.0009831402680741607,stop_loss,trailing_stop,zone,,BELOW,
SHORT,10.894,2.0,,10.959,-0.268595041322313,TREND,38.8603,0.0696,6.7762,19.6099,3.5,3_to_4,0.5,,False,SWEEP_LOW,,0.06500000000000128,,,BOS,False,,,11.136,2023-05-04 18:00:00,2.5,momentum,2.0161627170649328,0.4879113775297119,ATOMUSDT,5,0.0,0.2419999999999991,0.012396694214876549,0.3347107438016521,0.012396694214876549,10.975,10.891,11.136,0,7,2023-05-04 23:00:00,10.959,-0.13105057660921962,stop_loss,trailing_stop,momentum,5.0,BELOW,
