direction,entry,entry_level,zone_size_at_entry,tp,sl,rr,regime,adx,atr,plus_di,minus_di,confidence,confidence_bucket,position_size_multiplier,bos,fvg,liquidity_sweep,bos_strength,range,volume,fvg_size,signal_type,has_fvg,nearest_level,last_swing_low,last_swing_high,timestamp,confidence_threshold_used,entry_type,htf_filter_variant,htf_filter_applied,position_size,risk_amount,symbol,bars_alive,max_r,initial_risk,mfe_r,mae_r,max_r_reached,max_price_since_entry,min_price_since_entry,original_sl,scale_level,signal_id,exit_time,exit_price,pnl,exit_reason,exit_type,entry_mode,candles_since_bos,ema_position,mtf_tf
SHORT,380.05,,,374.5161,383.7393,1.4999864472935278,RANGE,21.7005,3.6893,21.6844,18.6834,3.0,3_to_4,0.5,BULLISH_BOS,False,SWEEP_HIGH,,5.2999999999999545,,,SWEEP,False,383.7393,,,2022-01-09 19:00:00,2.5,zone,NONE,False,0.13552706475483142,0.5,BCHUSDT,5,1.5314558317296045,3.689300000000003,1.585666657631534,0.23039601008320418,1.585666657631534,380.9,374.2,383.7393,0,1,2022-01-10 00:00:00,374.5161,0.7499932236467639,take_profit,TP,,,,
SHORT,87.105,1.0,0.564107,,84.9,0.615921787709497,TREND,30.3101,1.5043,14.5537,33.1197,5.0,5_plus,1.25,BEARISH_BOS,True,,,1.1099999999999994,,,BOS,True,,,90.685,2022-01-10 11:30:00,2.5,zone,NONE,False,0.3517807025965322,1.2593749152955847,AVAXUSDT,15,1.3184357541899445,3.5799999999999983,1.9608938547486072,0.013966480446926588,1.9608938547486072,87.155,80.085,90.685,0,2,2022-01-11 02:00:00,84.9,0.775676449225353,stop_loss,trailing_stop,zone,,BELOW,15m
SHORT,29.16,,0.113304,,28.21,0.49738219895287916,TREND,31.138,0.3021,4.0189,36.8794,4.0,4_to_5,1.0,BEARISH_BOS,True,,,0.5899999999999999,,,BOS,True,,,31.07,2022-01-10 11:30:00,2.5,zone,NONE,False,0.5274868755164752,1.0074999322364677,FILUSDT,15,0.7748691099476441,1.9100000000000001,1.6125654450261788,0.0,1.6125654450261788,29.16,26.08,31.07,0,3,2022-01-11 02:00:00,28.21,0.5011125317406511,stop_loss,trailing_stop,zone,,BELOW,15m
SHORT,82.94,1.0,0.564107,,84.9,-0.25306649451258967,TREND,30.3101,1.5043,14.5537,33.1197,5.0,5_plus,1.25,BEARISH_BOS,True,,,1.1099999999999994,,,BOS,True,,,90.685,2022-01-10 13:00:00,2.5,zone,NONE,False,0.3517807025965322,1.2593749152955847,AVAXUSDT,13,0.07165913492575755,7.7450000000000045,0.3686249193027763,0.4699806326662361,0.3686249193027763,86.58,80.085,90.685,1,2,2022-01-11 02:00:00,84.9,-0.6894901770892059,stop_loss,trailing_stop,zone,,BELOW,15m
LONG,0.1527,1.0,0.001141,,0.1518,-0.0900000000000011,TREND,38.2761,0.003,62.6761,7.5117,3.5,3_to_4,0.5,BULLISH_BOS,False,,,0.02429999999999999,,,BOS,False,,0.1427,,2022-01-11 11:15:00,2.5,zone,NONE,False,5.066864601376178,0.5066864601376178,DOGEUSDT,20,0.2,0.010000000000000009,0.8199999999999977,0.5099999999999989,0.8199999999999977,0.1609,0.1476,0.1427,0,4,2022-01-12 07:00:00,0.1518,-0.00456017814123862,stop_loss,trailing_stop,zone,,ABOVE,15m
LONG,0.2803,,0.001552,,0.2894,0.9009900990099009,TREND,37.6403,0.0041,25.1079,7.3339,5.0,5_plus,1.25,BULLISH_BOS,True,,,0.0038000000000000256,,,BOS,True,,0.2702,,2022-01-12 03:30:00,2.5,zone,NONE,False,5.066864601376178,1.2667161503440445,HBARUSDT,22,1.7326732673267347,0.010099999999999998,1.7722772277227754,0.14356435643564427,1.7722772277227754,0.2982,0.27885,0.2702,0,6,2022-01-13 01:00:00,0.2894,0.04610846787252321,stop_loss,trailing_stop,zone,,ABOVE,15m
LONG,1.2128,1.0,0.006196,,1.2938000000000005,3.0,TREND,37.808,0.0165,34.6304,10.1167,3.5,3_to_4,0.5,BULLISH_BOS,False,,,0.029400000000000093,,,BOS,False,,1.1858,,2022-01-12 03:00:00,2.5,zone,NONE,False,5.066864601376178,0.5066864601376178,ADAUSDT,24,4.433333333333308,0.027000000000000135,5.192592592592562,0.5444444444444475,5.192592592592562,1.353,1.1981,1.1858,0,5,2022-01-13 03:00:00,1.2938000000000005,0.4104160327114725,stop_loss,trailing_stop,zone,,ABOVE,
LONG,1.2432,1.0,0.006196,,1.2938000000000005,1.121951219512201,TREND,37.808,0.0165,34.6304,10.1167,3.5,3_to_4,0.5,BULLISH_BOS,False,,,0.029400000000000093,,,BOS,False,,1.1858,,2022-01-12 11:00:00,2.5,zone,NONE,False,5.066864601376178,0.5066864601376178,ADAUSDT,16,1.9800443458979968,0.04510000000000014,2.434589800443449,0.01773835920177675,2.434589800443449,1.353,1.2424,1.1858,1,5,2022-01-13 03:00:00,1.2938000000000005,0.25638334882963676,stop_loss,trailing_stop,zone,,ABOVE,
LONG,1.3288,1.0,0.006196,,1.2938000000000005,-1.0,TREND,37.808,0.0165,34.6304,10.1167,3.5,3_to_4,0.5,BULLISH_BOS,False,,,0.029400000000000093,,,BOS,False,,1.1858,,2022-01-13 01:00:00,2.5,zone,NONE,False,5.066864601376178,0.5066864601376178,ADAUSDT,2,0.0,0.034999999999999476,0.09142857142857541,1.03428571428573,0.09142857142857541,1.332,1.2926,1.1858,2,5,2022-01-13 03:00:00,1.2938000000000005,-0.17734026104816358,stop_loss,trailing_stop,zone,,ABOVE,
SHORT,15.885,,0.06533,,16.389,-0.9113924050632919,TREND,37.4187,0.1742,5.6171,35.6294,3.5,3_to_4,0.5,BEARISH_BOS,False,SWEEP_LOW,,0.16800000000000104,,,BOS,False,,,16.438,2022-01-13 03:00:00,2.5,zone,NONE,False,0.9210515319868714,0.509341497188739,UNIUSDT,11,0.0,0.552999999999999,0.0,1.264014466546114,0.0,16.584,15.885,16.438,0,7,2022-01-13 14:00:00,16.389,-0.46420997212138276,stop_loss,trailing_stop,zone,,BELOW,
