direction,entry,entry_level,zone_size_at_entry,tp,sl,rr,regime,adx,atr,plus_di,minus_di,confidence,confidence_bucket,position_size_multiplier,bos,fvg,liquidity_sweep,bos_strength,range,volume,fvg_size,signal_type,has_fvg,nearest_level,last_swing_low,last_swing_high,timestamp,confidence_threshold_used,entry_type,zone_entry_type,htf_filter_variant,htf_filter_applied,position_size,risk_amount,symbol,bars_alive,max_r,initial_risk,mfe_r,mae_r,max_r_reached,max_price_since_entry,min_price_since_entry,original_sl,scale_level,signal_id,exit_time,exit_price,pnl,exit_reason,exit_type,entry_mode,candles_since_bos,ema_position,mtf_tf
SHORT,380.05,,,374.5161,383.7393,1.4999864472935278,RANGE,21.7005,3.6893,21.6844,18.6834,3.0,3_to_4,0.5,BULLISH_BOS,False,SWEEP_HIGH,,5.2999999999999545,,,SWEEP,False,383.7393,,,2022-01-09 19:00:00,2.5,zone,,NONE,False,0.13552706475483142,0.5,BCHUSDT,5,1.5314558317296045,3.689300000000003,1.585666657631534,0.23039601008320418,1.585666657631534,380.9,374.2,383.7393,0,1,2022-01-10 00:00:00,374.5161,0.7499932236467639,take_profit,TP,,,,
SHORT,87.105,1.0,1.128214,,84.9,0.615921787709497,TREND,30.3101,1.5043,14.5537,33.1197,5.0,5_plus,1.25,BEARISH_BOS,True,,,1.1099999999999994,,,BOS,True,,,90.685,2022-01-10 11:30:00,2.5,zone,full,NONE,False,0.3517807025965322,1.2593749152955847,AVAXUSDT,15,1.3184357541899445,3.5799999999999983,1.9608938547486072,0.013966480446926588,1.9608938547486072,87.155,80.085,90.685,0,2,2022-01-11 02:00:00,84.9,0.775676449225353,stop_loss,trailing_stop,zone,,BELOW,15m
SHORT,28.96,,0.233571,,28.21,0.35545023696682476,TREND,35.2311,0.3114,3.8991,38.3028,4.0,4_to_5,1.0,BEARISH_BOS,True,,,0.4299999999999997,,,BOS,True,,,31.07,2022-01-10 12:30:00,2.5,momentum,momentum,NONE,False,0.47748811954334974,1.0074999322364677,FILUSDT,14,0.6066350710900481,2.1099999999999994,1.3649289099526083,0.004739336492890054,1.3649289099526083,28.97,26.08,31.07,0,3,2022-01-11 02:00:00,28.21,0.3581160896575123,stop_loss,trailing_stop,momentum,,BELOW,15m
SHORT,82.94,1.0,1.128214,,84.9,-0.25306649451258967,TREND,30.3101,1.5043,14.5537,33.1197,5.0,5_plus,1.25,BEARISH_BOS,True,,,1.1099999999999994,,,BOS,True,,,90.685,2022-01-10 13:00:00,2.5,zone,full,NONE,False,0.3517807025965322,1.2593749152955847,AVAXUSDT,13,0.07165913492575755,7.7450000000000045,0.3686249193027763,0.4699806326662361,0.3686249193027763,86.58,80.085,90.685,1,2,2022-01-11 02:00:00,84.9,-0.6894901770892059,stop_loss,trailing_stop,zone,,BELOW,15m
LONG,0.1527,1.0,0.002282,,0.1518,-0.0900000000000011,TREND,38.2761,0.003,62.6761,7.5117,3.5,3_to_4,0.5,BULLISH_BOS,False,,,0.02429999999999999,,,BOS,False,,0.1427,,2022-01-11 11:15:00,2.5,zone,full,NONE,False,5.059714779272022,0.5059714779272022,DOGEUSDT,20,0.2,0.010000000000000009,0.8199999999999977,0.5099999999999989,0.8199999999999977,0.1609,0.1476,0.1427,0,4,2022-01-12 07:00:00,0.1518,-0.0045537433013448795,stop_loss,trailing_stop,zone,,ABOVE,15m
LONG,1.2128,1.0,0.012391,,1.2938000000000005,3.0,TREND,37.808,0.0165,34.6304,10.1167,3.5,3_to_4,0.5,BULLISH_BOS,False,,,0.029400000000000093,,,BOS,False,,1.1858,,2022-01-12 03:00:00,2.5,zone,full,NONE,False,5.059714779272022,0.5059714779272022,ADAUSDT,24,4.433333333333308,0.027000000000000135,5.192592592592562,0.5444444444444475,5.192592592592562,1.353,1.1981,1.1858,0,5,2022-01-13 03:00:00,1.2938000000000005,0.4098368971210358,stop_loss,trailing_stop,zone,,ABOVE,
LONG,1.2432,1.0,0.012391,,1.2938000000000005,1.121951219512201,TREND,37.808,0.0165,34.6304,10.1167,3.5,3_to_4,0.5,BULLISH_BOS,False,,,0.029400000000000093,,,BOS,False,,1.1858,,2022-01-12 11:00:00,2.5,zone,full,NONE,False,5.059714779272022,0.5059714779272022,ADAUSDT,16,1.9800443458979968,0.04510000000000014,2.434589800443449,0.01773835920177675,2.434589800443449,1.353,1.2424,1.1858,1,5,2022-01-13 03:00:00,1.2938000000000005,0.2560215678311664,stop_loss,trailing_stop,zone,,ABOVE,
LONG,1.2765,1.0,0.012391,,1.2938000000000005,0.271585557299852,TREND,37.808,0.0165,34.6304,10.1167,3.5,3_to_4,0.5,BULLISH_BOS,False,,,0.029400000000000093,,,BOS,False,,1.1858,,2022-01-12 13:00:00,2.5,zone,full,NONE,False,5.059714779272022,0.5059714779272022,ADAUSDT,14,0.8791208791208818,0.06369999999999987,1.2009419152276322,0.2872841444270019,1.2009419152276322,1.353,1.2582,1.1858,2,5,2022-01-13 03:00:00,1.2938000000000005,0.08753306568140869,stop_loss,trailing_stop,zone,,ABOVE,
SHORT,25.4,2.0,0.281464,,25.195,0.1885924563017464,TREND,38.5047,0.3753,9.3453,33.6125,5.0,5_plus,1.25,BEARISH_BOS,True,,,0.34800000000000253,,,BOS,True,,,26.487,2022-01-13 16:30:00,2.5,zone,full,NONE,False,1.1722991418212136,1.274289167159659,LINKUSDT,8,0.6734130634774604,1.0869999999999997,0.8886844526218931,0.0,0.8886844526218931,25.4,24.434,26.487,0,7,2022-01-14 00:00:00,25.195,0.2403213240733468,stop_loss,trailing_stop,zone,,BELOW,15m
LONG,18.342,1.0,0.284839,,19.24,0.7877192982456158,TREND,34.0541,0.3798,33.1578,5.1533,3.5,3_to_4,0.5,BULLISH_BOS,False,,,0.8210000000000015,,,BOS,False,,17.202,,2022-01-13 13:30:00,2.5,zone,full,NONE,False,0.4471190060209341,0.5097156668638635,NEARUSDT,13,1.4833333333333394,1.139999999999997,1.7535087719298312,0.0,1.7535087719298312,20.341,18.342,17.202,0,6,2022-01-14 02:00:00,19.24,0.40151286740679865,stop_loss,trailing_stop,zone,,ABOVE,15m
