direction,entry,entry_level,zone_size_at_entry,tp,sl,rr,regime,adx,atr,plus_di,minus_di,confidence,confidence_bucket,position_size_multiplier,bos,fvg,liquidity_sweep,bos_strength,range,volume,fvg_size,signal_type,has_fvg,nearest_level,last_swing_low,last_swing_high,timestamp,confidence_threshold_used,entry_type,zone_entry_type,htf_filter_variant,htf_filter_applied,entry_mode,candles_since_bos,ema_position,position_size,risk_amount,capital_before_entry,trade_risk,symbol,bars_alive,max_r,initial_risk,mfe_r,mae_r,max_r_reached,max_price_since_entry,min_price_since_entry,original_sl,scale_level,signal_id,exit_time,exit_price,pnl,exit_reason,exit_type,mtf_tf
LONG,233.2125,1.0,3.525,,226.45,-0.5583075335397326,TREND,31.979,4.7,29.1793,18.769,4.0,4_to_5,1.0,BULLISH_BOS,True,,,7.850000000000023,,,BOS,True,,221.1,,2022-01-18 02:00:00,2.5,zone,full,NONE,False,zone,,ABOVE,0.08255933952528371,1.0,100.0,1.0,AAVEUSDT,2,0.0,12.112500000000011,0.5603715170278628,0.6656346749226,0.5603715170278628,240.0,225.15,221.1,0,2,2022-01-18 04:00:00,226.45,-0.5583075335397325,stop_loss,trailing_stop,
SHORT,470.5,,3.747321,,475.25,-0.5165064590491941,TREND,35.9187,4.9964,15.4396,22.2302,4.0,4_to_5,1.0,,True,,,3.8000000000000114,,,BOS,True,,,479.2,2022-01-18 04:30:00,2.5,momentum,,NONE,False,momentum,10.0,BELOW,0.10813110833202172,0.9944169246646027,99.44169246646027,0.9944169246646027,BNBUSDT,2,0.20116567352442544,9.196399999999983,0.37514679657257133,0.5382540994302116,0.37514679657257133,475.45,467.05,479.6964,0,3,2022-01-18 06:00:00,475.25,-0.5136227645771032,stop_loss,trailing_stop,15m
SHORT,464.4,,4.138393,,465.8,-0.0932220883079548,TREND,30.1981,5.5179,9.7087,35.9871,4.0,4_to_5,1.0,,True,SWEEP_LOW,,3.9499999999999886,,,BOS,True,,,479.2,2022-01-18 09:30:00,2.5,momentum,,NONE,False,momentum,15.0,BELOW,0.0658734374991731,0.9892806970188316,98.92806970188316,0.9892806970188316,BNBUSDT,1,0.0,15.017899999999997,0.10653952949480061,0.17645609572576956,0.10653952949480061,467.05,462.8,479.4179,0,4,2022-01-18 10:00:00,465.8,-0.09222281249884458,stop_loss,trailing_stop,15m
LONG,17.2174,1.0,0.248732,,17.063,-0.23204087766757156,TREND,35.9375,0.3316,29.8945,20.3748,3.5,3_to_4,0.5,BULLISH_BOS,False,,,0.25900000000000034,,,BOS,False,,16.552,,2022-01-18 09:00:00,2.5,zone,full,NONE,False,zone,,ABOVE,0.7433729313336557,0.4946403485094158,98.92806970188316,0.4946403485094158,UNIUSDT,4,0.42320408776675184,0.6654000000000018,0.6215810039074208,1.0661256387135563,0.6215810039074208,17.631,16.508,16.552,0,5,2022-01-18 13:00:00,17.063,-0.11477678059791832,stop_loss,trailing_stop,
SHORT,39.5,,0.566786,,37.52,0.5601131541725598,TREND,36.2342,0.7557,2.5047,39.8393,5.0,5_plus,1.25,BEARISH_BOS,True,SWEEP_LOW,,0.6799999999999997,,,BOS,True,,,43.035,2022-01-17 22:00:00,2.5,momentum,momentum,NONE,False,momentum,,BELOW,0.35360678925035394,1.25,100.0,1.25,ATOMUSDT,17,0.7963224893917964,3.5349999999999966,0.9250353606789268,0.1739745403111747,0.9250353606789268,40.115,36.23,43.035,0,1,2022-01-18 15:00:00,37.52,0.7001414427156997,stop_loss,trailing_stop,
SHORT,17.07,3.0,0.329679,,17.896,-0.7866666666666666,TREND,38.5094,0.4396,9.6198,34.7091,4.0,4_to_5,1.0,,True,,,0.37900000000000134,,,BOS,True,,,18.12,2022-01-18 14:30:00,2.5,momentum,full,NONE,False,momentum,15.0,BELOW,0.9402006677027269,0.9872107010878639,98.72107010878639,0.9872107010878639,NEARUSDT,8,0.11904761904761897,1.0500000000000007,0.31428571428571583,0.8599999999999982,0.31428571428571583,17.973,16.74,18.12,0,6,2022-01-18 22:00:00,17.896,-0.7766057515224529,stop_loss,trailing_stop,15m
SHORT,16.056,,0.179036,,15.817300000000003,1.0,TREND,36.6918,0.2387,19.0604,27.3489,3.0,3_to_4,0.5,,True,,,0.1390000000000029,,,BOS,True,,,16.221,2022-01-19 04:00:00,2.5,momentum,,NONE,False,momentum,8.0,BELOW,2.0662883493921345,0.4932230289998982,98.64460579997964,0.4932230289998982,UNIUSDT,10,3.225806451612937,0.2386999999999979,3.4352744030163698,0.0,3.4352744030163698,16.056,15.236,16.2947,0,7,2022-01-19 14:00:00,15.817300000000003,0.49322302899989817,stop_loss,trailing_stop,
SHORT,15.736,,0.179036,,15.817300000000003,-0.24196428571429382,TREND,36.6918,0.2387,19.0604,27.3489,3.0,3_to_4,0.5,,True,,,0.1390000000000029,,,BOS,True,,,16.221,2022-01-19 05:00:00,2.5,momentum,,NONE,False,momentum,8.0,BELOW,2.0662883493921345,0.4932230289998982,98.64460579997964,0.4932230289998982,UNIUSDT,9,1.3392857142857233,0.3359999999999985,1.4880952380952446,0.2648809523809495,1.4880952380952446,15.825,15.236,16.2947,1,7,2022-01-19 14:00:00,15.817300000000003,-0.16798924280558544,stop_loss,trailing_stop,
SHORT,15.313,,0.179036,,15.817300000000003,-1.0,TREND,36.6918,0.2387,19.0604,27.3489,3.0,3_to_4,0.5,,True,,,0.1390000000000029,,,BOS,True,,,16.221,2022-01-19 07:00:00,2.5,momentum,,NONE,False,momentum,8.0,BELOW,2.0662883493921345,0.4932230289998982,98.64460579997964,0.4932230289998982,UNIUSDT,7,0.05353955978584354,0.5043000000000024,0.15070394606385118,1.0152686892722511,0.15070394606385118,15.825,15.237,16.2947,2,7,2022-01-19 14:00:00,15.817300000000003,-1.0420292145984584,stop_loss,trailing_stop,
LONG,1.3816,1.0,0.017464,,1.378,-0.07929515418502328,TREND,33.1217,0.0233,36.9632,9.6933,4.0,4_to_5,1.0,BULLISH_BOS,True,SWEEP_HIGH,,0.04169999999999985,,,BOS,True,,1.3362,,2022-01-20 15:00:00,2.5,zone,full,NONE,False,zone,,BELOW,4.896390518578775,0.979278103715755,97.92781037157549,0.979278103715755,ADAUSDT,5,0.5440528634361284,0.045399999999999885,0.7488986784140995,0.5814977973568292,0.7488986784140995,1.4156,1.3552,1.3362,0,8,2022-01-20 20:00:00,1.378,-0.017627005866883823,stop_loss,trailing_stop,
