direction,entry,entry_level,zone_size_at_entry,tp,sl,rr,regime,adx,atr,plus_di,minus_di,confidence,confidence_bucket,position_size_multiplier,bos,fvg,liquidity_sweep,bos_strength,range,volume,fvg_size,signal_type,has_fvg,nearest_level,last_swing_low,last_swing_high,timestamp,confidence_threshold_used,entry_type,zone_entry_type,htf_filter_variant,htf_filter_applied,entry_mode,candles_since_bos,ema_position,position_size,risk_amount,capital_before_entry,trade_risk,symbol,bars_alive,max_r,initial_risk,mfe_r,mae_r,max_r_reached,max_price_since_entry,min_price_since_entry,original_sl,scale_level,realized_pnl,realized_r,partial_tp_hits,tp1_taken,tp1_price,signal_id,entry_bar_index,exit_time,exit_price,pnl,exit_reason,exit_type,mtf_tf
SHORT,1.2687,,0.009836,,1.2672,0.054945054945048685,TREND,33.791,0.0131,3.5948,60.8388,3.0,3_to_4,0.5,,True,,,0.006399999999999961,,,BOS,True,,,1.296,2023-09-10 05:00:00,2.5,momentum,,NONE,False,momentum,3.0,BELOW,5.0,0.5,100.0,0.5,OPUSDT,5,0.3406593406593344,0.027300000000000102,0.5201465201465179,0.1282051282051299,0.5201465201465179,1.2722,1.2545,1.296,0,0.0,0.0,0,False,1.2413999999999998,2,269,2023-09-10 10:00:00,1.2672,0.007499999999999174,stop_loss,trailing_stop,
SHORT,5.391,,0.045589,,5.2595,1.5233463035019463,TREND,33.2892,0.0608,4.7004,63.631,3.0,3_to_4,0.5,,True,,,0.03200000000000003,,,BOS,True,,,5.5195,2023-09-10 05:00:00,2.5,momentum,,NONE,False,momentum,3.0,BELOW,1.9455252918287962,0.5,100.0,0.5,APTUSDT,7,1.1556420233463074,0.12849999999999984,1.1867704280155646,0.0,1.1867704280155646,5.391,5.2385,5.5195,0,0.25,0.5,1,True,5.2625,1,269,2023-09-10 12:00:00,5.2595,0.5058365758754866,stop_loss,trailing_stop,
LONG,1.3957,,0.013591,,1.3954,-0.013698630136984774,TREND,32.6955,0.0181,46.078,12.4162,3.0,3_to_4,0.5,,True,,,0.018299999999999983,,,BOS,True,,1.3738,,2023-09-15 10:00:00,2.5,momentum,,NONE,False,momentum,3.0,ABOVE,5.025666828793774,0.5025666828793774,100.51333657587548,0.5025666828793774,OPUSDT,1,0.0,0.02190000000000003,1.1735159817351608,0.29680365296803385,1.1735159817351608,1.4214,1.3892,1.3738,0,0.0,0.0,0,False,1.4176,3,394,2023-09-15 11:00:00,1.3954,-0.0015077000486379663,stop_loss,trailing_stop,
LONG,3.32,,0.017893,,3.361,1.2735849056603854,TREND,30.5885,0.0239,24.5509,12.5749,4.0,4_to_5,1.0,,True,,,0.01499999999999968,,,BOS,True,,3.267,,2023-09-15 20:00:00,2.5,momentum,,NONE,False,momentum,16.0,ABOVE,2.5127957218956714,1.0051182887582686,100.51182887582685,1.0051182887582686,FILUSDT,15,2.037735849056608,0.052999999999999936,2.5849056603773617,0.0,2.5849056603773617,3.457,3.32,3.267,0,0.13317817326047043,0.5,1,True,3.3729999999999998,4,404,2023-09-16 11:00:00,3.361,0.23620279785819387,stop_loss,trailing_stop,15m
LONG,3.341,,0.017893,,3.32,0.11818181818181289,TREND,30.5885,0.0239,24.5509,12.5749,4.0,4_to_5,1.0,,True,,,0.01499999999999968,,,BOS,True,,3.267,,2023-09-15 21:00:00,2.5,momentum,,NONE,False,momentum,16.0,ABOVE,2.5127957218956714,1.0051182887582686,100.51182887582685,0.13820376470426232,FILUSDT,18,1.5818181818181725,0.05500000000000016,2.109090909090897,0.3818181818181871,2.109090909090897,3.457,3.32,3.267,1,0.13317817326047043,0.5,1,True,3.3729999999999998,4,404,2023-09-16 15:00:00,3.32,0.08040946310066045,stop_loss,trailing_stop,15m
LONG,64.98,,0.432321,,65.66,0.32692307692307254,TREND,35.6999,0.5764,38.7856,6.6914,4.0,4_to_5,1.0,,True,,,0.29999999999999716,,,BOS,True,,62.9,,2023-09-18 10:00:00,2.5,momentum,,NONE,False,momentum,2.0,ABOVE,0.48475212084993,1.008284411367857,100.82844113678571,1.008284411367857,LTCUSDT,1,0.3557692307692274,2.0800000000000054,0.5913461538461474,0.0,0.5913461538461474,66.21,64.98,62.9,0,0.0,0.0,0,False,67.06,5,466,2023-09-18 11:00:00,65.66,0.3296314421779488,stop_loss,trailing_stop,
SHORT,5.269,,0.045589,,5.479,0.21666666666666717,TREND,33.2892,0.0608,4.7004,63.631,3.0,3_to_4,0.5,,True,,,0.03200000000000003,,,BOS,True,,,5.5195,2023-09-10 06:00:00,2.5,momentum,,NONE,False,momentum,3.0,BELOW,1.5656846396145991,0.5,100.0,0.32879377431906576,APTUSDT,200,1.6666666666666694,0.20999999999999996,1.8500000000000028,0.49761904761904685,1.8500000000000028,5.3735,4.8805,5.5195,1,0.25,0.5,1,True,5.2625,1,269,2023-09-18 14:00:00,5.3285,0.15684176394293153,timeout,timeout,
LONG,65.5051,1.0,0.550179,,66.4,1.0845958065689196,TREND,37.9914,0.7336,46.0565,6.4265,3.5,3_to_4,0.5,BULLISH_BOS,False,,,0.7000000000000028,,,BOS,False,,64.68,,2023-09-18 12:00:00,2.5,zone,full,NONE,False,zone,,ABOVE,0.6130049241241344,0.5057903628948184,101.15807257896367,0.5057903628948184,LTCUSDT,5,2.0299357653618038,0.825099999999992,2.405647800266653,0.0,2.405647800266653,67.49,65.5051,64.68,0,0.0,0.0,0,False,66.33019999999999,6,468,2023-09-18 17:00:00,66.4,0.5485781065986921,stop_loss,trailing_stop,
LONG,66.72,1.0,0.550179,,66.4,-0.3018867924528231,TREND,37.9914,0.7336,46.0565,6.4265,3.5,3_to_4,0.5,BULLISH_BOS,False,,,0.7000000000000028,,,BOS,False,,64.68,,2023-09-18 13:00:00,2.5,zone,full,NONE,False,zone,,ABOVE,0.38758103787546266,0.5057903628948184,101.15807257896367,0.4108359001479913,LTCUSDT,4,0.43396226415094996,1.0600000000000023,0.6415094339622692,0.9245283018867942,0.6415094339622692,67.4,65.74,64.68,1,0.0,0.0,0,False,66.33019999999999,6,468,2023-09-18 17:00:00,66.4,-0.12402593212014541,stop_loss,trailing_stop,
SHORT,4.102,1.0,0.024054,,4.107,-0.04464285714285615,TREND,37.4222,0.0321,7.1269,30.5122,3.5,3_to_4,0.5,BEARISH_BOS,False,SWEEP_LOW,,0.03399999999999981,,,BOS,False,,,4.214,2023-09-19 02:00:00,2.5,zone,full,NONE,False,zone,,BELOW,4.541940469526119,0.5086973325869257,101.73946651738515,0.5086973325869257,DOTUSDT,7,0.04464285714285615,0.1120000000000001,0.11607142857142758,0.16964285714285812,0.11607142857142758,4.121,4.089,4.214,0,0.0,0.0,0,False,3.99,7,481,2023-09-19 08:00:00,4.107,-0.02270970234763011,stop_loss,trailing_stop,15m
