direction,entry,entry_level,zone_size_at_entry,tp,sl,rr,regime,adx,atr,plus_di,minus_di,confidence,confidence_bucket,position_size_multiplier,bos,fvg,liquidity_sweep,bos_strength,range,volume,fvg_size,signal_type,has_fvg,nearest_level,last_swing_low,last_swing_high,timestamp,confidence_threshold_used,entry_type,zone_entry_type,htf_filter_variant,htf_filter_applied,entry_mode,candles_since_bos,ema_position,initial_risk,mtf_tf,position_size,risk_amount,requested_size,actual_size,trade_risk,capital_before_entry,risk_percent,allocated_capital,log_message,sizing_warning,capital_after_entry,symbol,bars_alive,max_r,mfe_r,mae_r,max_r_reached,max_price_since_entry,min_price_since_entry,original_sl,scale_level,realized_pnl,realized_r,mfe_valid,mae_valid,partial_tp_hits,tp1_taken,tp1_price,signal_id,entry_bar_index,exit_time,exit_price,pnl,exit_reason,exit_type,capital_after_exit
SHORT,472.65,,3.747321,,475.25,-0.3689827429609475,TREND,35.9187,4.9964,15.4396,22.2302,4.0,4_to_5,1.0,,True,,,3.8000000000000114,,,BOS,True,,,479.2,2022-01-18 04:00:00,2.5,momentum,,NONE,False,momentum,10.0,BELOW,7.0464000000000055,15m,0.21157304559399134,4.472484925420505,300.0,100.0,1.4908283084735017,100.0,0.2,100.0,"⚠️ ENTRY BNBUSDT: requested_size=300.0000, actual_size=100.0000, available=100.0000, units=0.211573, trade_risk=1.4908 (requested > available, capped)",True,0.0,BNBUSDT,2,0.5676657584014527,0.794732061762029,0.3973660308810186,0.794732061762029,475.45,467.05,479.6964,0,0.0,-0.3689827429609475,True,True,0,False,465.6036,1,412,2022-01-18 06:00:00,475.25,-0.5500899185443823,stop_loss,trailing_stop,99.44991008145561
SHORT,465.8,,4.138393,,465.8,0.0,TREND,30.1981,5.5179,9.7087,35.9871,4.0,4_to_5,1.0,,True,SWEEP_LOW,,3.9499999999999886,,,BOS,True,,,479.2,2022-01-18 09:45:00,2.5,momentum,,NONE,False,momentum,15.0,BELOW,13.617899999999963,15m,0.21350345659393646,8.722406164651678,298.3497302443668,99.44991008145561,2.9074687215505595,99.44991008145561,0.2,99.44991008145561,"⚠️ ENTRY BNBUSDT: requested_size=298.3497, actual_size=99.4499, available=99.4499, units=0.213503, trade_risk=2.9075 (requested > available, capped)",True,0.0,BNBUSDT,1,0.0477312948398825,0.2202982838763692,0.09179095161515383,0.2202982838763692,467.05,462.8,479.4179,0,0.0,0.0,True,True,0,False,452.18210000000005,2,417,2022-01-18 10:00:00,465.8,0.0,stop_loss,trailing_stop,99.44991008145561
SHORT,16.056,,0.179036,,15.817300000000003,1.5,TREND,36.6918,0.2387,19.0604,27.3489,3.0,3_to_4,0.5,,True,,,0.1390000000000029,,,BOS,True,,,16.221,2022-01-19 04:00:00,2.5,momentum,,NONE,False,momentum,8.0,BELOW,0.2386999999999979,,3.09697029401643,4.435480855090292,298.3497302443668,99.44991008145561,1.4784936183634307,99.44991008145561,0.2,49.72495504072781,"⚠️ ENTRY UNIUSDT: requested_size=298.3497, actual_size=99.4499, available=99.4499, units=6.193941, trade_risk=1.4785 (requested > available, capped)",True,0.0,UNIUSDT,10,3.225806451612937,3.4352744030163698,0.0,3.4352744030163698,16.056,15.236,16.2947,0,0.7392468091817154,1.5,True,True,1,True,15.817300000000003,3,436,2022-01-19 14:00:00,15.817300000000003,1.4784936183634307,take_profit,TP,58.09633059000196
SHORT,15.736,,0.179036,,15.817300000000003,0.25803571428570615,TREND,36.6918,0.2387,19.0604,27.3489,3.0,3_to_4,0.5,,True,,,0.1390000000000029,,,BOS,True,,,16.221,2022-01-19 05:00:00,2.5,momentum,,NONE,False,momentum,8.0,BELOW,0.3359999999999985,,2.221706065226959,4.66607865350904,151.39260554972856,34.96076664241143,1.077527441635074,50.46420184990952,0.2,34.96076664241143,"⚠️ SCALE-IN UNIUSDT L1: requested_size=151.3926, actual_size=50.4642, available=50.4642, units=3.206927, trade_risk=1.0775 (requested > available, capped)",True,15.503435207498093,UNIUSDT,9,1.3392857142857233,1.4880952380952446,0.2648809523809495,1.4880952380952446,15.825,15.236,16.2947,1,0.7392468091817154,0.25803571428570615,True,True,1,True,15.817300000000003,3,436,2022-01-19 14:00:00,15.817300000000003,0.5586221060787584,take_profit,TP,93.61571933849214
SHORT,15.313,,0.179036,,15.817300000000003,-0.5,TREND,36.6918,0.2387,19.0604,27.3489,3.0,3_to_4,0.5,,True,,,0.1390000000000029,,,BOS,True,,,16.221,2022-01-19 07:00:00,2.5,momentum,,NONE,False,momentum,8.0,BELOW,0.5043000000000024,,0.5623034857041316,1.5503435207498093,26.145826358195862,8.610553276587368,0.5105715650193512,15.503435207498093,0.2,8.610553276587368,"⚠️ SCALE-IN UNIUSDT L2: requested_size=26.1458, actual_size=15.5034, available=15.5034, units=1.012436, trade_risk=0.5106 (requested > available, capped)",True,6.892881930910725,UNIUSDT,7,0.05353955978584354,0.15070394606385118,1.0152686892722511,0.15070394606385118,15.825,15.237,16.2947,2,0.7392468091817154,-0.5,True,True,1,True,15.817300000000003,3,436,2022-01-19 14:00:00,15.817300000000003,0.45567716134112046,take_profit,TP,102.68194977642062
LONG,1.3816,1.0,0.017464,,1.378,-0.07929515418502328,TREND,33.1217,0.0233,36.9632,9.6933,4.0,4_to_5,1.0,BULLISH_BOS,True,SWEEP_HIGH,,0.04169999999999985,,,BOS,True,,1.3362,,2022-01-20 15:00:00,2.5,zone,full,NONE,False,zone,,BELOW,0.045399999999999885,,74.32104066040867,10.122525737947635,308.04584932926184,102.68194977642062,3.374175245982545,102.68194977642062,0.2,102.68194977642062,"⚠️ ENTRY ADAUSDT: requested_size=308.0458, actual_size=102.6819, available=102.6819, units=74.321041, trade_risk=3.3742 (requested > available, capped)",True,0.0,ADAUSDT,5,0.5440528634361284,0.7488986784140995,0.5814977973568292,0.7488986784140995,1.4156,1.3552,1.3362,0,0.0,-0.07929515418502328,True,True,0,False,1.4269999999999998,4,471,2022-01-20 20:00:00,1.378,-0.26755574637747476,stop_loss,trailing_stop,102.41439403004316
SHORT,41111.0,1.0,399.053571,,35850.0,2.8181317470808547,TREND,39.9816,532.0714,23.285,39.0254,3.5,3_to_4,0.5,BEARISH_BOS,False,SWEEP_LOW,,810.0,,,BOS,False,,,43380.5,2022-01-21 00:30:00,2.5,zone,full,NONE,False,zone,,BELOW,2269.5,15m,0.001245583834375753,10.241439403004316,185.51919598894492,102.41439403004316,5.6537050242315425,102.41439403004316,0.2,51.20719701502158,"⚠️ ENTRY BTCUSDT: requested_size=185.5192, actual_size=102.4144, available=102.4144, units=0.002491, trade_risk=5.6537 (requested > available, capped)",True,0.0,BTCUSDT,37,2.7814496585150916,3.150914298303591,0.0,3.150914298303591,41111.0,33960.0,43380.5,0,2.8268525121157713,2.8181317470808547,True,True,1,True,38841.5,5,480,2022-01-22 13:00:00,35850.0,9.379869064766607,take_profit,TP,82.07659338394757
SHORT,38469.5,1.0,399.053571,,36310.0,1.00627124604384,TREND,39.9816,532.0714,23.285,39.0254,3.5,3_to_4,0.5,BEARISH_BOS,False,SWEEP_LOW,,810.0,,,BOS,False,,,43380.5,2022-01-21 03:00:00,2.5,zone,full,NONE,False,zone,,BELOW,4265.5,15m,0.0007393355481990063,5.4034049527137356,42.32667212959093,28.441868871441674,3.6308768772053197,54.03404952713735,0.2,28.441868871441674,"SCALE-IN BTCUSDT L1: requested_size=42.3267, actual_size=42.3267, available=54.0340, units=0.001100, trade_risk=4.6932",False,25.592180655695675,BTCUSDT,68,0.9602625717969757,1.0572031414839995,0.188371820419646,1.0572031414839995,39273.0,33960.0,43380.5,1,2.8268525121157713,1.00627124604384,True,True,1,True,38841.5,5,480,2022-01-23 23:00:00,36310.0,4.423447628451525,take_profit,TP,114.94190988384076
SHORT,36646.0,1.0,399.053571,,36310.0,0.6693548387096774,TREND,39.9816,532.0714,23.285,39.0254,3.5,3_to_4,0.5,BEARISH_BOS,False,SWEEP_LOW,,810.0,,,BOS,False,,,43380.5,2022-01-21 21:00:00,2.5,zone,full,NONE,False,zone,,BELOW,1984.0,15m,0.00011195364709753562,2.5592180655695675,13.926068042298965,4.10265335153629,0.7539518363783536,25.592180655695675,0.2,4.10265335153629,"SCALE-IN BTCUSDT L2: requested_size=13.9261, actual_size=13.9261, available=25.5922, units=0.000380, trade_risk=0.7540",False,21.489527304159385,BTCUSDT,50,1.145413306451613,1.3538306451612903,0.24369959677419356,1.3538306451612903,37129.5,33960.0,43380.5,2,2.8268525121157713,0.6693548387096774,True,True,1,True,38841.5,5,480,2022-01-23 23:00:00,36310.0,2.8644689375405434,take_profit,TP,121.90903217291759
SHORT,17.81,1.0,0.346607,,18.4,-0.3259668508287288,TREND,31.2955,0.4621,15.3014,36.1669,4.0,4_to_5,1.0,BEARISH_BOS,True,,,0.5899999999999999,,,BOS,True,,,19.62,2022-01-24 10:00:00,2.5,zone,full,NONE,False,zone,,BELOW,1.8100000000000023,15m,6.8449765397483215,24.38180643458352,239.9115870717856,121.90903217291759,12.389407536944477,121.90903217291759,0.2,121.90903217291759,"⚠️ ENTRY FILUSDT: requested_size=239.9116, actual_size=121.9090, available=121.9090, units=6.844977, trade_risk=12.3894 (requested > available, capped)",True,0.0,FILUSDT,13,0.46961325966850653,0.5580110497237551,0.49723756906077404,0.5580110497237551,18.71,16.8,19.62,0,0.0,-0.3259668508287288,True,True,0,False,15.999999999999996,6,562,2022-01-24 23:00:00,18.4,-4.0385361584515085,stop_loss,trailing_stop,117.87049601446608
