direction,entry,entry_level,zone_size_at_entry,tp,sl,rr,regime,adx,atr,plus_di,minus_di,confidence,confidence_bucket,position_size_multiplier,bos,fvg,liquidity_sweep,bos_strength,range,volume,fvg_size,signal_type,has_fvg,nearest_level,last_swing_low,last_swing_high,timestamp,confidence_threshold_used,entry_type,zone_entry_type,htf_filter_variant,htf_filter_applied,entry_mode,candles_since_bos,ema_position,initial_risk,mtf_tf,position_size,risk_amount,trade_risk,stop_distance,max_leverage,requested_size,actual_size,capital_before_entry,risk_percent,allocated_capital,log_message,sizing_warning,capital_after_entry,symbol,bars_alive,max_r,mfe_r,mae_r,max_r_reached,max_price_since_entry,min_price_since_entry,original_sl,scale_level,realized_pnl,realized_r,mfe_valid,mae_valid,partial_tp_hits,tp1_taken,tp1_price,signal_id,entry_bar_index,exit_time,exit_price,pnl,exit_reason,exit_type,capital_after_exit
SHORT,472.65,,3.747321,,467.43210092034275,0.5537276092087313,TREND,35.9187,4.9964,15.4396,22.2302,4.0,4_to_5,1.0,,True,,,3.8000000000000114,,,BOS,True,,,479.2,2022-01-18 04:00:00,2.5,momentum,,NONE,False,momentum,10.0,BELOW,0.14908283084735016,15m,0.021157304559399133,1.0,0.14908283084735016,7.0464000000000055,3.0,67.07680517711165,10.0,100.0,0.01,10.0,"ENTRY BNBUSDT: notional=10.000000, capital=100.00, units=0.021157, risk_amount=1.0000, trade_risk=0.1491",False,90.0,BNBUSDT,1,26.830722070844665,37.5630108991823,0.0,37.5630108991823,472.65,467.05,479.6964,0,0.0,0.5537276092087313,True,True,0,False,472.5009171691526,1,412,2022-01-18 05:00:00,467.43210092034275,0.0825512794991729,take_profit,TP,90.08255127949917
LONG,17.2174,1.0,0.248732,,17.063,-0.05263941545603015,TREND,35.9375,0.3316,29.8945,20.3748,3.5,3_to_4,0.5,BULLISH_BOS,False,,,0.25900000000000034,,,BOS,False,,16.552,,2022-01-18 09:00:00,2.5,zone,full,NONE,False,zone,,ABOVE,0.31332742841103195,,0.23544291284267443,0.8107429615154925,0.31332742841103195,0.6654000000000018,3.0,20.978187354368508,8.107429615154926,81.07429615154925,0.01,4.053714807577463,"ENTRY UNIUSDT: notional=8.107430, capital=81.07, units=0.470886, risk_amount=0.8107, trade_risk=0.3133",False,72.96686653639432,UNIUSDT,4,0.8987403414634559,1.3200248765244595,2.2640852210020723,1.3200248765244595,17.631,16.508,16.552,0,0.06231707145428428,-0.05263941545603015,True,True,1,True,17.530727428411033,3,417,2022-01-18 13:00:00,17.063,0.014665163049244284,take_profit,TP,73.03406604428191
SHORT,465.8,,4.138393,,463.4297517012405,0.02015995347436215,TREND,30.1981,5.5179,9.7087,35.9871,4.0,4_to_5,1.0,,True,SWEEP_LOW,,3.9499999999999886,,,BOS,True,,,479.2,2022-01-18 09:45:00,2.5,momentum,,NONE,False,momentum,15.0,BELOW,0.26336092208439,15m,0.009669659862548216,0.9008255127949917,0.26336092208439,13.617899999999963,3.0,30.812718837699517,9.008255127949917,90.08255127949917,0.01,4.504127563974959,"ENTRY BNBUSDT: notional=9.008255, capital=90.08, units=0.019339, risk_amount=0.9008, trade_risk=0.2634",False,81.07429615154925,BNBUSDT,2,2.468095854371863,11.391211635561845,4.746338181484102,11.391211635561845,467.05,462.8,479.4179,0,-0.010061380368089092,0.02015995347436215,True,True,1,True,465.5366390779156,2,417,2022-01-18 11:00:00,463.4297517012405,0.0002786537521418716,take_profit,TP,73.01940088123267
LONG,17.31,1.0,0.248732,,17.063,-2.0412716688753934,TREND,35.9375,0.3316,29.8945,20.3748,3.5,3_to_4,0.5,BULLISH_BOS,False,,,0.25900000000000034,,,BOS,False,,16.552,,2022-01-18 10:00:00,2.5,zone,full,NONE,False,zone,,ABOVE,0.05815439947214056,,0.4218320174897778,0.7301912222748053,0.10419250831997506,0.2469999999999999,3.0,51.172510354562284,7.301912222748053,73.01912222748052,0.01,7.301912222748053,"SCALE-IN UNIUSDT L1: notional=7.301912, capital=73.02, units=0.421832, risk_amount=0.7302, trade_risk=0.1042",False,65.71721000473246,UNIUSDT,3,3.24996907741335,4.952333832248917,13.79087407452648,4.952333832248917,17.598,16.508,16.552,1,0.06231707145428428,-2.0412716688753934,True,True,1,True,17.530727428411033,3,417,2022-01-18 13:00:00,17.063,-0.06217496325473898,stop_loss,trailing_stop,72.97189108102718
SHORT,16.056,,0.179036,,15.513573791696532,2.087260251217363,TREND,36.6918,0.2387,19.0604,27.3489,3.0,3_to_4,0.5,,True,,,0.1390000000000029,,,BOS,True,,,16.221,2022-01-19 04:00:00,2.5,momentum,,NONE,False,momentum,8.0,BELOW,0.10848524166069405,,0.4544836265634478,0.7297189108102718,0.10848524166069405,0.2386999999999979,3.0,49.08406716367754,7.297189108102718,72.97189108102718,0.01,7.297189108102718,"ENTRY UNIUSDT: notional=7.297189, capital=72.97, units=0.454484, risk_amount=0.7297, trade_risk=0.1085",False,65.67470197292447,UNIUSDT,7,7.097739639169599,7.55863182353125,0.0,7.55863182353125,16.056,15.236,16.2947,0,0.0,2.087260251217363,True,True,0,False,15.947514758339308,4,436,2022-01-19 11:00:00,15.513573791696532,0.2264369327620766,take_profit,TP,53.46052239565978
SHORT,15.736,,0.179036,,15.513573791696532,0.5200525768932619,TREND,36.6918,0.2387,19.0604,27.3489,3.0,3_to_4,0.5,,True,,,0.1390000000000029,,,BOS,True,,,16.221,2022-01-19 05:00:00,2.5,momentum,,NONE,False,momentum,8.0,BELOW,0.09612999444173956,,0.2797935995898415,0.6567470197292447,0.05918047560213018,0.2115147583393071,3.0,48.85981093518266,4.402832083145746,65.67470197292447,0.01,4.402832083145746,"SCALE-IN UNIUSDT L1: notional=6.567470, capital=65.67, units=0.417353, risk_amount=0.6567, trade_risk=0.0883",False,61.27186988977872,UNIUSDT,6,4.681161198576034,5.2012902206400256,0.5409341829465586,5.2012902206400256,15.788,15.236,16.2947,1,0.0,0.5200525768932619,True,True,0,False,15.947514758339308,4,436,2022-01-19 11:00:00,15.513573791696532,0.0499926513261616,take_profit,TP,53.510515046985944
SHORT,0.2591,,0.002306,,0.26445,-0.627110529896912,TREND,33.1544,0.0031,16.3763,36.8177,4.0,4_to_5,1.0,,True,,,0.0024000000000000132,,,BOS,True,,,0.2688,2022-01-19 07:00:00,2.5,momentum,,NONE,False,momentum,2.0,BELOW,0.24586823972881763,15m,25.347241209156493,0.6567470197292447,0.24586823972881763,0.009699999999999986,3.0,17.542593073386342,6.567470197292447,65.67470197292447,0.01,6.567470197292447,"ENTRY HBARUSDT: notional=6.567470, capital=65.67, units=25.347241, risk_amount=0.6567, trade_risk=0.2459",False,59.107231775632016,HBARUSDT,12,0.019726012621025666,0.02765708986040689,0.025216758402135726,0.02765708986040689,0.2653,0.2523,0.2688,0,0.0,-0.627110529896912,True,True,0,False,0.013231760271182363,5,439,2022-01-19 19:00:00,0.26445,-0.1541865621011598,stop_loss,trailing_stop,53.23498496614831
SHORT,21.89,3.0,0.289714,,22.477,-0.20300574262581805,TREND,31.0678,0.3863,18.2138,39.7374,4.0,4_to_5,1.0,,True,,,0.29799999999999827,,,BOS,True,,,23.146,2022-01-19 07:00:00,2.5,momentum,full,NONE,False,momentum,11.0,BELOW,0.339144280996774,15m,0.13500966600190045,0.5910723177563202,0.339144280996774,1.2560000000000002,3.0,10.30141165261612,5.910723177563202,59.107231775632016,0.01,2.955361588781601,"ENTRY LINKUSDT: notional=5.910723, capital=59.11, units=0.270019, risk_amount=0.5911, trade_risk=0.3391",False,53.19650859806882,LINKUSDT,7,1.33866329299629,1.963765976069446,1.8605650614111413,1.963765976069446,22.521,21.224,23.146,0,0.03757686482888884,-0.20300574262581805,True,True,1,True,21.550855719003227,6,439,2022-01-19 14:00:00,22.477,-0.050059804206604795,stop_loss,trailing_stop,53.46045524277934
SHORT,22.09,3.0,0.289714,,22.477,-2.0281067520655838,TREND,31.0678,0.3863,18.2138,39.7374,4.0,4_to_5,1.0,,True,,,0.29799999999999827,,,BOS,True,,,23.146,2022-01-19 11:00:00,2.5,momentum,full,NONE,False,momentum,11.0,BELOW,0.052248740742735535,15m,0.24223863760518763,0.5351051504698594,0.09374635275320772,0.38700000000000045,3.0,30.543857296845427,5.351051504698595,53.510515046985944,0.01,5.351051504698595,"SCALE-IN LINKUSDT L1: notional=5.351052, capital=53.51, units=0.242239, risk_amount=0.5351, trade_risk=0.0937",False,48.15946354228735,LINKUSDT,3,3.713008146076173,5.052753353423257,8.249002633808463,5.052753353423257,22.521,21.826,23.146,1,0.03757686482888884,-2.0281067520655838,True,True,1,True,21.550855719003227,6,439,2022-01-19 14:00:00,22.477,-0.07128371452987009,stop_loss,trailing_stop,53.38917152824947
LONG,1.3816,1.0,0.017464,,1.378,-0.16439298325991017,TREND,33.1217,0.0233,36.9632,9.6933,4.0,4_to_5,1.0,BULLISH_BOS,True,SWEEP_HIGH,,0.04169999999999985,,,BOS,True,,1.3362,,2022-01-20 15:00:00,2.5,zone,full,NONE,False,zone,,BELOW,0.17493256495824608,,3.853140197318205,0.5323498496614831,0.17493256495824608,0.045399999999999885,3.0,16.200320535072837,5.323498496614832,53.23498496614831,0.01,5.323498496614832,"ENTRY ADAUSDT: notional=5.323498, capital=53.23, units=3.853140, risk_amount=0.5323, trade_risk=0.1749",False,47.91148646953348,ADAUSDT,5,0.14119726653465411,0.1943606098047859,0.15091529702489234,0.1943606098047859,1.4156,1.3552,1.3362,0,0.0,-0.16439298325991017,True,True,0,False,1.556532564958246,7,471,2022-01-20 20:00:00,1.378,-0.028757686222794097,stop_loss,trailing_stop,47.88272878331068
