symbol,direction,entry,entry_level,zone_size_at_entry,tp,sl,rr,regime,adx,atr,plus_di,minus_di,confidence,confidence_bucket,position_size_multiplier,bos,fvg,liquidity_sweep,bos_strength,range,volume,fvg_size,signal_type,has_fvg,nearest_level,last_swing_low,last_swing_high,timestamp,confidence_threshold_used,entry_type,zone_entry_type,htf_filter_variant,htf_filter_applied,entry_mode,candles_since_bos,ema_position,initial_risk,mtf_tf,position_size,risk_amount,trade_risk,stop_distance,max_leverage,requested_size,actual_size,capital_before_entry,risk_percent,allocated_capital,log_message,sizing_warning,capital_after_entry,bars_alive,max_r,mfe_r,mae_r,max_r_reached,max_price_since_entry,min_price_since_entry,original_sl,scale_level,realized_pnl,realized_r,mfe_valid,mae_valid,partial_tp_hits,tp1_taken,tp1_price,signal_id,entry_bar_index,exit_time,exit_price,pnl,exit_reason,exit_type,capital_after_exit,anomaly_flags
BNBUSDT,LONG,468.15,,3.747321,,473.25,0.15149976272084295,TREND,35.9187,4.9964,15.4396,22.2302,4.0,4_to_5,1.0,,True,,,3.8000000000000114,,,BOS,True,,,479.2,2022-01-18 05:00:00,2.5,momentum,,NONE,False,momentum,10.0,BELOW,4.996399999999994,15m,0.20014410375470362,1.0,1.0,4.996399999999994,3.0,93.6974621727645,93.6974621727645,100.0,0.01,93.6974621727645,"ENTRY BNBUSDT: notional=93.697462, capital=100.00, units=0.200144, risk_amount=1.0000, trade_risk=1.0000",False,100.0,1,0.10007205187735181,0.7105115683292001,0.22015851413016715,0.7105115683292001,471.7,467.05,463.1536,0,0.0,0.15149976272084295,True,True,0,False,473.14639999999997,1,412,2022-01-18 05:00:00,473.25,0.7569534144584188,take_profit,TP,100.75695341445842,
UNIUSDT,SHORT,17.2174,1.0,0.248732,,16.72,1.0237966119356294,TREND,35.9375,0.3316,29.8945,20.3748,3.5,3_to_4,0.5,BULLISH_BOS,False,,,0.25900000000000034,,,BOS,False,,16.552,,2022-01-18 09:00:00,2.5,zone,full,NONE,False,zone,,ABOVE,0.6654000000000018,,1.5142313407643246,1.0075695341445843,1.0075695341445843,0.6654000000000018,3.0,26.071126686475687,26.071126686475687,100.75695341445842,0.01,26.071126686475687,"ENTRY UNIUSDT: notional=26.071127, capital=100.76, units=1.514231, risk_amount=1.0076, trade_risk=1.0076",False,100.75695341445842,1,0.0,0.0,0.6215810039074208,0.0,17.631,17.2174,17.882800000000003,0,0.0,1.0237966119356294,True,True,0,False,16.552,3,417,2022-01-18 10:00:00,16.72,0.6812342655819696,take_profit,TP,101.43818768004039,
BNBUSDT,SHORT,465.8,,4.138393,,465.8,-0.0070861813298196885,TREND,30.1981,5.5179,9.7087,35.9871,4.0,4_to_5,1.0,,True,SWEEP_LOW,,3.9499999999999886,,,BOS,True,,,479.2,2022-01-18 09:45:00,2.5,momentum,,NONE,False,momentum,15.0,BELOW,13.617899999999963,15m,0.0739886130860549,1.0075695341445843,1.0075695341445843,13.617899999999963,3.0,34.46389597548437,34.46389597548437,100.75695341445842,0.01,34.46389597548437,"ENTRY BNBUSDT: notional=34.463896, capital=100.76, units=0.073989, risk_amount=1.0076, trade_risk=1.0076",False,100.75695341445842,1,0.0477312948398825,0.2202982838763692,0.09179095161515383,0.2202982838763692,467.05,462.8,479.4179,0,0.0,-0.0070861813298196885,True,True,0,False,452.18210000000005,2,417,2022-01-18 10:00:00,465.8,-0.09649890873135128,stop_loss,trailing_stop,101.34168877130904,
UNIUSDT,LONG,16.056,,0.179036,,16.031,-1.2436436625188927,TREND,36.6918,0.2387,19.0604,27.3489,3.0,3_to_4,0.5,,True,,,0.1390000000000029,,,BOS,True,,,16.221,2022-01-19 04:00:00,2.5,momentum,,NONE,False,momentum,8.0,BELOW,0.2386999999999979,,4.245567187738162,1.0134168877130905,1.0134168877130905,0.2386999999999979,3.0,68.16682676632394,68.16682676632394,101.34168877130904,0.01,68.16682676632394,"ENTRY UNIUSDT: notional=68.166827, capital=101.34, units=4.245567, risk_amount=1.0134, trade_risk=1.0134",False,101.34168877130904,1,0.0,0.0,1.432760787599512,0.0,16.056,15.714,15.817300000000003,0,0.0,-1.2436436625188927,True,True,0,False,16.2947,4,436,2022-01-19 05:00:00,16.031,-0.2968577422432571,stop_loss,trailing_stop,101.04483102906578,
LINKUSDT,SHORT,21.89,3.0,0.289714,,22.477,-0.4157725590094986,TREND,31.0678,0.3863,18.2138,39.7374,4.0,4_to_5,1.0,,True,,,0.29799999999999827,,,BOS,True,,,23.146,2022-01-19 07:00:00,2.5,momentum,full,NONE,False,momentum,11.0,BELOW,1.2560000000000002,15m,0.8044970623333262,1.0104483102906578,1.0104483102906578,1.2560000000000002,3.0,17.610440694476512,17.610440694476512,101.04483102906578,0.01,17.610440694476512,"ENTRY LINKUSDT: notional=17.610441, capital=101.04, units=0.804497, risk_amount=1.0104, trade_risk=1.0104",False,101.04483102906578,7,0.36146496815286666,0.5302547770700639,0.5023885350318472,0.5302547770700639,22.521,21.224,23.146,0,0.0,-0.4157725590094986,True,True,0,False,20.634,6,439,2022-01-19 14:00:00,22.477,-0.5222103341159303,stop_loss,trailing_stop,104.50972394571409,
HBARUSDT,LONG,0.2523,,0.002306,,0.2595,50.0,TREND,33.1544,0.0031,16.3763,36.8177,4.0,4_to_5,1.0,,True,,,0.0024000000000000132,,,BOS,True,,,0.2688,2022-01-19 07:45:00,2.5,momentum,,NONE,False,momentum,2.0,BELOW,0.0030999999999999917,15m,325.95106783569696,1.0104483102906578,1.0104483102906578,0.0030999999999999917,3.0,82.23745441494636,82.23745441494636,101.04483102906578,0.01,82.23745441494636,"ENTRY HBARUSDT: notional=82.237454, capital=101.04, units=325.951068, risk_amount=1.0104, trade_risk=1.0104",False,101.04483102906578,1,0.7419354838709596,0.8870967741935426,0.0,0.8870967741935426,0.25505,0.2523,0.24920000000000003,0,0.0,50.0,True,True,0,False,0.2554,5,439,2022-01-19 08:00:00,0.2595,2.1132981680304574,take_profit,TP,103.15812919709623,
HBARUSDT,LONG,0.2523,3.0,0.002317,,0.2595,75.0,TREND,32.0252,0.0031,15.3757,36.6474,3.0,3_to_4,0.5,,True,,,0.0019500000000000073,,,BOS,True,,,0.2688,2022-01-19 08:30:00,2.5,momentum,full,NONE,False,momentum,3.0,BELOW,0.0030999999999999917,15m,166.38407935015567,1.0315812919709624,1.0315812919709624,0.0030999999999999917,3.0,83.95740644008856,83.95740644008856,103.15812919709623,0.01,41.97870322004428,"ENTRY HBARUSDT: notional=83.957406, capital=103.16, units=332.768159, risk_amount=1.0316, trade_risk=1.0316",False,103.15812919709623,2,1.209677419354834,1.4193548387096682,0.0,1.4193548387096682,0.2567,0.2523,0.24920000000000003,0,0.3975283763812415,75.0,True,True,1,True,0.2554,7,440,2022-01-19 10:00:00,0.2595,1.476276706352536,take_profit,TP,105.03193427983001,
BCHUSDT,SHORT,367.75,,2.630357,,370.95,-0.016236589659818314,TREND,32.2646,3.5071,12.6273,41.8534,3.5,3_to_4,0.5,BEARISH_BOS,False,,,2.4499999999999886,,,BOS,False,,,384.3,2022-01-19 10:00:00,2.5,momentum,momentum,NONE,False,momentum,,BELOW,16.55000000000001,,0.06346340439868879,1.0503193427983002,1.0503193427983002,16.55000000000001,3.0,23.338666967617804,23.338666967617804,105.03193427983001,0.01,23.338666967617804,"ENTRY BCHUSDT: notional=23.338667, capital=105.03, units=0.063463, risk_amount=1.0503, trade_risk=1.0503",False,105.03193427983001,7,0.0,0.02416918429002882,0.4320241691842884,0.02416918429002882,374.9,367.35,384.3,0,0.0,-0.016236589659818314,True,True,0,False,351.2,8,442,2022-01-19 17:00:00,370.95,-0.26871555886999327,stop_loss,trailing_stop,104.24100838684409,
ADAUSDT,LONG,1.3816,1.0,0.017464,,1.378,-3.774557345095741,TREND,33.1217,0.0233,36.9632,9.6933,4.0,4_to_5,1.0,BULLISH_BOS,True,SWEEP_HIGH,,0.04169999999999985,,,BOS,True,,1.3362,,2022-01-20 15:00:00,2.5,zone,full,NONE,False,zone,,BELOW,0.045399999999999885,,22.960574534547217,1.042410083868441,1.042410083868441,0.045399999999999885,3.0,31.722329776930433,31.722329776930433,104.24100838684409,0.01,31.722329776930433,"ENTRY ADAUSDT: notional=31.722330, capital=104.24, units=22.960575, risk_amount=1.0424, trade_risk=1.0424",False,104.24100838684409,5,0.5440528634361284,0.7488986784140995,0.5814977973568292,0.7488986784140995,1.4156,1.3552,1.3362,0,0.0,-3.774557345095741,True,True,0,False,1.4269999999999998,9,471,2022-01-20 20:00:00,1.378,-0.1713649034673462,stop_loss,trailing_stop,104.06964348337674,
BTCUSDT,LONG,40333.5,1.0,399.053571,,42359.5,0.003895585286960669,TREND,39.9816,532.0714,23.285,39.0254,3.5,3_to_4,0.5,BEARISH_BOS,False,SWEEP_LOW,,810.0,,,BOS,False,,,43380.5,2022-01-21 00:00:00,2.5,zone,full,NONE,False,zone,,BELOW,532.0714000000007,15m,0.0009779668995869406,1.0406964348337673,1.0406964348337673,532.0714000000007,3.0,78.88965588897973,78.88965588897973,104.06964348337674,0.01,39.444827944489866,"ENTRY BTCUSDT: notional=78.889656, capital=104.07, units=0.001956, risk_amount=1.0407, trade_risk=1.0407",False,104.06964348337674,2,0.0,1.1389448859683102,2.1660626750469927,1.1389448859683102,40939.5,39181.0,39801.4286,0,0.40917441980722014,0.003895585286960669,True,True,1,True,40865.5714,10,480,2022-01-21 02:00:00,42359.5,2.2773167273561774,take_profit,TP,106.75613463054013,
