symbol,direction,entry,entry_level,zone_size_at_entry,tp,sl,rr,regime,adx,atr,plus_di,minus_di,confidence,confidence_bucket,position_size_multiplier,bos,fvg,liquidity_sweep,bos_strength,range,volume,fvg_size,signal_type,has_fvg,nearest_level,last_swing_low,last_swing_high,timestamp,confidence_threshold_used,entry_type,zone_entry_type,htf_filter_variant,htf_filter_applied,entry_mode,candles_since_bos,ema_position,mtf_tf,position_size,risk_amount,trade_risk,stop_distance,max_leverage,requested_size,actual_size,capital_before_entry,risk_percent,allocated_capital,log_message,sizing_warning,capital_after_entry,bars_alive,max_r,initial_risk,mfe_r,mae_r,max_r_reached,max_price_since_entry,min_price_since_entry,original_sl,scale_level,realized_pnl,realized_r,mfe_valid,mae_valid,partial_tp_hits,tp1_taken,tp1_price,signal_id,entry_bar_index,exit_time,exit_price,pnl,exit_reason,exit_type,capital_after_exit,anomaly_flags
HBARUSDT,SHORT,0.2591,,0.002306,,0.26445,-0.627110529896912,TREND,33.1544,0.0031,16.3763,36.8177,4.0,4_to_5,1.0,,True,,,0.0024000000000000132,,,BOS,True,,,0.2688,2022-01-19 07:00:00,2.3,momentum,,NONE,False,momentum,2.0,BELOW,15m,103.09278350515478,1.0,1.0,0.009699999999999986,3.0,26.711340206185604,26.711340206185604,100.0,0.01,26.711340206185604,"ENTRY HBARUSDT: notional=26.711340, capital=100.00, units=103.092784, risk_amount=1.0000, trade_risk=1.0000",False,100.0,12,0.004850000000000021,1.0,0.006799999999999973,0.006199999999999983,0.006799999999999973,0.2653,0.2523,0.2688,0,0.0,-0.627110529896912,True,True,0,False,-0.7409,1,439,2022-01-19 19:00:00,0.26445,-0.627110529896912,stop_loss,trailing_stop,99.37288947010309,
DOTUSDT,SHORT,23.0,,0.367232,,18.031355526494846,1.0399541237037597,TREND,35.7878,0.4896,16.9949,39.752,3.5,3_to_4,0.5,BEARISH_BOS,False,SWEEP_LOW,,0.6899999999999977,,,BOS,False,,,25.585,2022-01-21 00:00:00,2.3,momentum,momentum,NONE,False,momentum,,BELOW,30m,0.19221061793056685,0.9937288947010309,0.9937288947010309,2.585000000000001,3.0,8.841688424806074,8.841688424806074,99.37288947010309,0.01,4.420844212403037,"ENTRY DOTUSDT: notional=8.841688, capital=99.37, units=0.384421, risk_amount=0.9937, trade_risk=0.9937",False,99.37288947010309,34,5.992580100824777,0.9937288947010309,7.013985441267624,0.31698786427536746,7.013985441267624,23.315,16.03,25.585,0,0.1788943648561824,1.0399541237037597,True,True,1,True,22.006271105298968,2,480,2022-01-22 10:00:00,18.031355526494846,1.1228796443160076,take_profit,TP,100.58543091700788,
XRPUSDT,SHORT,0.7204,1.0,0.007114,,0.5918,2.66869413557895,TREND,40.2035,0.0095,18.4488,35.0151,3.5,3_to_4,0.5,BEARISH_BOS,False,SWEEP_LOW,,0.01100000000000001,,,BOS,False,,,0.7679,2022-01-21 00:00:00,2.3,zone,full,NONE,False,zone,,BELOW,30m,20.920608309495393,0.9937288947010309,0.9937288947010309,0.04749999999999999,3.0,15.071206226160482,15.071206226160482,99.37288947010309,0.01,15.071206226160482,"ENTRY XRPUSDT: notional=15.071206, capital=99.37, units=20.920608, risk_amount=0.9937, trade_risk=0.9937",False,99.37288947010309,43,0.153160485532415,0.9937288947010309,0.17509805836163087,0.0061384951494594655,0.17509805836163087,0.7265,0.5464,0.7679,0,0.0,2.66869413557895,True,True,0,False,-0.27332889470103083,3,480,2022-01-22 19:00:00,0.5918,2.6519584736439934,take_profit,TP,113.93354795266008,
FILUSDT,SHORT,25.03,,0.440893,,25.29,-0.08979568043478199,TREND,40.4158,0.5879,8.87,46.9016,4.0,4_to_5,1.0,BEARISH_BOS,True,,,0.5700000000000003,,,BOS,True,,,28.71,2022-01-21 02:00:00,2.3,momentum,momentum,NONE,False,momentum,,BELOW,15m,0.2700350257339758,0.9937288947010309,0.9937288947010309,3.6799999999999997,3.0,6.758976694121415,6.758976694121415,99.37288947010309,0.01,6.758976694121415,"ENTRY FILUSDT: notional=6.758977, capital=99.37, units=0.270035, risk_amount=0.9937, trade_risk=0.9937",False,99.37288947010309,9,0.07044174761674832,0.9937288947010309,0.38239805849092046,0.39246116529331104,0.38239805849092046,25.42,24.65,28.71,0,0.0,-0.08979568043478199,True,True,0,False,24.03627110529897,4,482,2022-01-21 11:00:00,25.29,-0.0892325622673829,stop_loss,trailing_stop,99.46255127269188,
DOTUSDT,SHORT,22.305,,0.367232,,19.025084421195878,11.59735012849708,TREND,35.7878,0.4896,16.9949,39.752,3.5,3_to_4,0.5,BEARISH_BOS,False,SWEEP_LOW,,0.6899999999999977,,,BOS,False,,,25.585,2022-01-21 12:00:00,2.3,momentum,momentum,NONE,False,momentum,,BELOW,30m,3.264148172356579,0.9946255127269189,0.9139614882598458,0.28000000000000114,3.0,79.23257879062083,72.8068249844135,99.46255127269188,0.01,72.8068249844135,"SCALE-IN DOTUSDT L1: notional=79.232579, capital=99.46, units=3.552234, risk_amount=0.9946, trade_risk=0.9946",False,26.655726288278387,25,5.755165909687151,0.9139614882598458,6.865715985415757,0.0,6.865715985415757,22.305,16.03,25.585,1,0.1788943648561824,11.59735012849708,True,True,1,True,22.006271105298968,2,480,2022-01-22 13:00:00,19.025084421195878,10.696158562008202,take_profit,TP,111.28158947901609,
HBARUSDT,SHORT,0.2102,1.0,0.003091,,0.20855,0.08939081176470574,TREND,35.3071,0.0041,14.0381,33.0156,4.0,4_to_5,1.0,BEARISH_BOS,True,,,0.0028499999999999914,,,BOS,True,,,0.2222,2022-01-24 05:00:00,2.3,zone,full,NONE,False,zone,,BELOW,15m,95.74247727114297,1.1393354795266009,1.1393354795266009,0.011899999999999994,3.0,20.125068722394253,20.125068722394253,113.93354795266008,0.01,20.125068722394253,"ENTRY HBARUSDT: notional=20.125069, capital=113.93, units=95.742477, risk_amount=1.1393, trade_risk=1.1393",False,113.93354795266008,35,0.020099435514388666,1.1393354795266009,0.0211965662739077,0.001711523984849696,0.0211965662739077,0.21215,0.18605,0.2221,0,0.0,0.08939081176470574,True,True,0,False,-0.9291354795266009,5,557,2022-01-25 16:00:00,0.20855,0.10184612338721313,take_profit,TP,113.60853304581289,
FILUSDT,SHORT,17.75,1.0,0.346607,,18.4,-0.37465789304812525,TREND,31.2955,0.4621,15.3014,36.1669,4.0,4_to_5,1.0,BEARISH_BOS,True,,,0.5899999999999999,,,BOS,True,,,19.62,2022-01-24 10:00:00,2.3,zone,full,NONE,False,zone,,BELOW,15m,0.6092703099072728,1.1393354795266009,1.1393354795266009,1.870000000000001,3.0,10.814548000854092,10.814548000854092,113.93354795266008,0.01,10.814548000854092,"ENTRY FILUSDT: notional=10.814548, capital=113.93, units=0.609270, risk_amount=1.1393, trade_risk=1.1393",False,113.93354795266008,13,0.6933866400160275,1.1393354795266009,0.8338193772344636,0.8425964233106172,0.8338193772344636,18.71,16.8,19.62,0,0.0,-0.37465789304812525,True,True,0,False,16.6106645204734,6,562,2022-01-24 23:00:00,18.4,-0.42686103023441174,stop_loss,trailing_stop,113.50668692242567,
FILUSDT,SHORT,19.66,,0.213214,,19.38,0.2012001000000027,TREND,33.8633,0.2843,9.2965,40.201,4.0,4_to_5,1.0,BEARISH_BOS,True,,,0.3099999999999987,,,BOS,True,,,20.78,2022-01-30 20:00:00,2.3,momentum,momentum,NONE,False,momentum,,ABOVE,15m,1.014361902194757,1.1360853304581289,1.1360853304581289,1.120000000000001,3.0,19.94235499714892,19.94235499714892,113.60853304581289,0.01,19.94235499714892,"ENTRY FILUSDT: notional=19.942355, capital=113.61, units=1.014362, risk_amount=1.1361, trade_risk=1.1361",False,113.60853304581289,13,0.47531640936006364,1.1360853304581289,0.6513595239378647,0.352086229155602,0.6513595239378647,20.06,18.92,20.78,0,0.0,0.2012001000000027,True,True,0,False,18.52391466954187,7,716,2022-01-31 09:00:00,19.38,0.22858048209671167,take_profit,TP,113.83711352790961,
HBARUSDT,SHORT,0.2153,,0.001937,,0.2207,-1.113037437037035,TREND,38.9945,0.0026,6.3624,20.1936,4.0,4_to_5,1.0,,True,SWEEP_LOW,,0.001449999999999979,,,BOS,True,,,0.2206,2022-02-03 10:00:00,2.3,momentum,,NONE,False,momentum,15.0,BELOW,15m,210.8094694961283,1.1383711352790962,1.1383711352790962,0.005400000000000016,3.0,45.38727878251642,45.38727878251642,113.83711352790961,0.01,45.38727878251642,"ENTRY HBARUSDT: notional=45.387279, capital=113.84, units=210.809469, risk_amount=1.1384, trade_risk=1.1384",False,113.83711352790961,2,0.0,1.1383711352790962,0.0006149136940549343,0.010102153545188527,0.0006149136940549343,0.2268,0.2146,0.2207,0,0.0,-1.113037437037035,True,True,0,False,-0.9230711352790961,8,802,2022-02-03 12:00:00,0.2207,-1.2670496908079851,stop_loss,SL,112.57006383710163,
DOTUSDT,LONG,22.165,1.0,0.241607,,22.34,0.08020859074733437,TREND,38.6961,0.3221,34.0355,6.9845,4.0,4_to_5,1.0,BULLISH_BOS,True,,,0.620000000000001,,,BOS,True,,20.76,,2022-02-07 04:00:00,2.3,zone,full,NONE,False,zone,,ABOVE,30m,0.8012104187694081,1.1257006383710164,1.1257006383710164,1.4049999999999976,3.0,17.75882893202393,17.75882893202393,112.57006383710163,0.01,17.75882893202393,"ENTRY DOTUSDT: notional=17.758829, capital=112.57, units=0.801210, risk_amount=1.1257, trade_risk=1.1257",False,112.57006383710163,14,0.4086343956113053,1.1257006383710164,0.4574928559561349,0.4574928559561349,0.4574928559561349,22.68,21.65,20.76,0,0.0,0.08020859074733437,True,True,0,False,23.290700638371014,9,892,2022-02-07 18:00:00,22.34,0.0902908618071139,take_profit,TP,112.66035469890875,
