date,symbol,side,entry,tp,sl,rr,confidence,result
2026-02-25 18:11:39,PIPPINUSDT,LONG,0.7356,0.8571,0.6544,1.5,7.8,
2026-02-25 18:21:51,XRPUSDT,SHORT,1.4318,1.3116,1.4604,4.2,6.5,loss
2026-02-25 18:21:54,ESPUSDT,LONG,0.1582,0.1758,0.155,5.58,7.2,loss
2026-02-25 18:32:18,HYPEUSDT,SHORT,28.091,26.08,28.6528,3.58,6.5,loss
2026-02-25 18:53:05,POWERUSDT,SHORT,0.8936,0.344,0.9115,30.75,7.5,loss
2026-02-25 19:03:22,ESPUSDT,LONG,0.1561,0.1758,0.153,6.31,8.2,loss
2026-02-25 19:34:36,PIPPINUSDT,LONG,0.7221,0.8571,0.6544,1.99,12.2,
2026-02-25 20:57:23,POWERUSDT,SHORT,0.9073,0.344,0.9254,31.04,7.5,loss
2026-02-25 21:18:07,ESPUSDT,LONG,0.1578,0.1758,0.1462,1.56,6.8,loss
2026-02-26 11:04:06,BTCUSDT,LONG,67853.7,69989.8,67563.6,7.36,6.2,
2026-02-26 11:45:49,ARCUSDT,LONG,0.036,0.1164,0.0353,111.77,7.0,
2026-02-26 12:06:21,DOGEUSDT,LONG,0.0997,0.1062,0.0994,23.18,6.2,
2026-02-26 12:06:33,SUIUSDT,LONG,0.9548,1.026,0.9357,3.73,6.2,
